apply_s1_correction,s1_theta_offset_deg,s1_scale,s1_condition,solver,Br_rms,Bt_rms,Br_L2_all,Bt_L2_all,Br_L2_edge,Bt_L2_edge,Br_L2_middle,Bt_L2_middle,objective
True,-90.0,0.29999999999999893,724840.9577377684,rowcol,0.5098473550948992,0.051560811935595155,0.07396626935657226,0.22674343497088445,0.13430811745849291,0.28518454867206655,0.05639319701351299,0.162025192503349,0.3007097043274567
True,30.0,0.29999999999999893,724840.9577377684,rowcol,0.5098473550948992,0.051560811935595155,0.07396626935657226,0.22674343497088445,0.13430811745849291,0.28518454867206655,0.05639319701351299,0.162025192503349,0.3007097043274567
True,20.0,0.29999999999999893,724840.9577377684,rowcol,0.5078548658880815,0.05126480493022148,0.07559337579961299,0.22642403673538128,0.13431925894584024,0.28115912122615944,0.0588842423688579,0.1670418021768354,0.30201741253499426
True,-80.0,0.29999999999999893,724840.9577377684,rowcol,0.5078548658725422,0.05126480508416124,0.07556652390677157,0.2272553749972801,0.1343193180128065,0.2810030724702479,0.05884345606284136,0.16932539317455558,0.30282189890405165
True,40.0,0.29999999999999893,724840.9577377684,rowcol,0.5078548658725422,0.05126480508416124,0.07556652390677157,0.22725537499728013,0.13431931801280653,0.28100307247024797,0.05884345606284135,0.16932539317455558,0.3028218989040517
True,-90.0,0.14999999999999894,724840.9577377684,rowcol,0.4959356817489666,0.05028306349403876,0.07941028538163347,0.22349553494125182,0.15834058272519727,0.28240719988671104,0.053715905292073915,0.15775221947248017,0.30290582032288527
True,30.0,0.14999999999999894,724840.9577377684,rowcol,0.4959356817489666,0.05028306349403876,0.07941028538163347,0.22349553494125182,0.15834058272519727,0.28240719988671104,0.053715905292073915,0.1577522194724802,0.30290582032288527
True,20.0,0.14999999999999894,724840.9577377684,rowcol,0.4949350090705679,0.050132263511679306,0.08070527939089545,0.22340422440181798,0.15834631627453488,0.28047339542374283,0.05594829262912548,0.16039344137121825,0.3041095037927134
True,-80.0,0.14999999999999894,724840.9577377684,rowcol,0.49493500906281257,0.050132263588243894,0.0806927051081596,0.2238258875063541,0.1583463413266878,0.28039519108759664,0.055926832648751125,0.16158625690317793,0.3045185926145137
True,40.0,0.14999999999999894,724840.9577377684,rowcol,0.49493500906281257,0.050132263588243894,0.0806927051081596,0.2238258875063541,0.1583463413266878,0.28039519108759664,0.05592683264875112,0.16158625690317793,0.3045185926145137
True,10.0,0.29999999999999893,724840.9577377684,rowcol,0.49967909515472636,0.05032213368154919,0.07975184647381511,0.22524866235013286,0.1343443408892092,0.27822453444507245,0.06503749679493234,0.1682443029257636,0.30500050882394797
True,10.0,0.14999999999999894,724840.9577377684,rowcol,0.4907967219239101,0.04965543641498255,0.08359175766351574,0.22308911630578446,0.15835863191317748,0.2797754355231068,0.06074688557101946,0.1606110009322116,0.3066808739693002
True,-70.0,0.29999999999999893,724840.9577377684,rowcol,0.49967909535527566,0.05032213169017292,0.07974597243166487,0.22757988328689713,0.1343443671313737,0.2781240598450469,0.06502897070456666,0.17405914007743975,0.30732585571856197
True,50.0,0.29999999999999893,724840.9577377684,rowcol,0.49967909535527566,0.05032213169017292,0.07974597243166487,0.22757988328689716,0.13434436713137374,0.2781240598450469,0.06502897070456666,0.17405914007743975,0.307325855718562
True,-70.0,0.14999999999999894,724840.9577377684,rowcol,0.49079672202358443,0.04965543542979627,0.08358895556071046,0.22426898245816992,0.15835864304451422,0.27972548126851277,0.06074232146209055,0.163679915761206,0.3078579380188804
True,50.0,0.14999999999999894,724840.9577377684,rowcol,0.49079672202358443,0.04965543542979627,0.08358895556071044,0.22426898245816992,0.15835864304451422,0.27972548126851277,0.06074232146209055,0.163679915761206,0.3078579380188804
True,0.0,0.14999999999999894,724840.9577377684,rowcol,0.48416959305309226,0.04921809672344541,0.08670549237956739,0.2231226160977031,0.1583614220322644,0.28068264593346737,0.065703414284329,0.15936062486457533,0.3098281084772705
False,-30.0,-0.15000000000000105,724840.9577377684,rowcol,0.4961642560843153,0.05052406002971595,0.07834831591177922,0.2325971819928549,0.15472602992132217,0.298066666133611,0.05379211276907811,0.1577452040781877,0.3109454979046341
False,90.0,-0.15000000000000105,724840.9577377684,rowcol,0.4961642560843153,0.05052406002971595,0.07834831591177922,0.2325971819928549,0.15472602992132217,0.29806666613361105,0.05379211276907811,0.1577452040781877,0.3109454979046341
False,-90.0,0.14999999999999894,724840.9577377684,rowcol,0.49616425608528925,0.05052406002978097,0.07834831591313472,0.23259718199203924,0.15472602992434512,0.29806666613109767,0.0537921127698273,0.1577452040799675,0.31094549790517395
False,30.0,0.14999999999999894,724840.9577377684,rowcol,0.49616425608528925,0.05052406002978097,0.07834831591313472,0.23259718199203924,0.15472602992434512,0.29806666613109767,0.053792112769827295,0.1577452040799675,0.31094549790517395
True,0.0,0.29999999999999893,724840.9577377684,rowcol,0.48656270468881363,0.049454559531834086,0.08584403345344727,0.2252402379869074,0.13435028044823602,0.2797013145408444,0.07363637915259447,0.1661512536742971,0.31108427144035466
True,-90.0,0.44999999999999896,724840.9577377684,rowcol,0.5237599306179902,0.052840433711398904,0.07825505207192436,0.23305520835915283,0.11099248584995877,0.2902769593535075,0.07067212806433205,0.17067651552522764,0.3113102604310772
