angle_deg,x_mm,y_mm,Bx_T,By_T,Br_T,Bt_T
0.01,39.399999399903685,0.00687659721794547,6.717107331231975e-05,-0.002571079864596362,6.672233420183467e-05,-0.002571091549000431
0.20993333333333336,39.39973552582039,0.1443623753145917,0.0002428791652539475,-0.002681181486470661,0.0002330536331903844,-0.00268205340296651
0.40986666666666677,39.39899189838874,0.28184639557372937,0.000492518641768002,-0.003004517293444961,0.00047101334028493754,-0.0030079636321558904
0.6098000000000001,39.39776852666357,0.41932698391257134,0.0007367690310921458,-0.003676508135115458,0.0006975989004303188,-0.0036841412088660518
0.8097333333333334,39.39606542554134,0.5568024662901193,0.001403439406091423,-0.004387018198865243,0.0013413017286896644,-0.004406413566196346
1.0096666666666667,39.39388261575994,0.6942711687275481,0.001952112130544398,-0.005697841528536366,0.0018514068280767963,-0.005731355215957465
1.2096000000000002,39.39122012389853,0.8317314173285891,0.003316414238806421,-0.007113489355051726,0.0031655099167367034,-0.007181913475866566
1.4095333333333337,39.388077982377084,0.969181538299912,0.005003287382239834,-0.008531196383976848,0.004791918668653416,-0.00865168838113526
1.609466666666667,39.3844562294561,1.1066198579715065,0.006494052763935465,-0.0107671664253552,0.006189075549558695,-0.01094531580055728
1.8094000000000001,39.38035490923606,1.2440447028170614,0.00862893973330338,-0.01408387179930923,0.008179942717787072,-0.01434930600809955
2.0093333333333336,39.37577407165696,1.3814543994743425,0.01300510862180929,-0.01709778784755855,0.012397624482904365,-0.017543263856137758
2.209266666666667,39.370713772497666,1.5188472747655688,0.01736614348796831,-0.0193841884341023,0.01660598585838188,-0.02003923487972309
2.4092000000000007,39.3651740733752,1.6562216557177853,0.02171366726711955,-0.02118249690200993,0.0208040452195489,-0.022076531061147354
2.609133333333334,39.35915504174408,1.793575869583235,0.02795145817943814,-0.02289869230084321,0.02688008208557177,-0.02414736653381687
2.8090666666666677,39.35265675089541,1.9309082438597258,0.03473625641054329,-0.02460233374388852,0.03348881031195274,-0.026275119770511675
3.009000000000001,39.345679279956045,2.068217106310998,0.04190186930815283,-0.02569794018148364,0.04049514191748512,-0.02786205775192082
3.2089333333333343,39.33822271388759,2.2055007849870836,0.04999969104499842,-0.02617074408247465,0.048456329577059004,-0.02892855119678678
3.4088666666666674,39.330287143485386,2.3427576082446677,0.05768338700663656,-0.02682506795580369,0.05598628280037235,-0.03020750809960373
3.6088000000000005,39.321872665377406,2.479985904767442,0.06528658070756752,-0.02746752762446732,0.06342821147191284,-0.031522447299676896
3.8087333333333344,39.31297938202307,2.617184003586455,0.07288556226498166,-0.02811897382250741,0.07085675325088453,-0.03289836461371053
4.0086666666666675,39.303607401712,2.7543502341004595,0.08048023914940117,-0.02877939861754746,0.07827145126407217,-0.034335151016829255
4.2086000000000015,39.29375683856271,2.891482926096256,0.0880705188837693,-0.02944879396788425,0.08567184945971097,-0.03583269418801606
4.4085333333333345,39.28342781252119,3.028580409769026,0.0956563090445682,-0.03012715172258307,0.09305749263084666,-0.037390878516095336
4.608466666666667,39.272620449359465,3.1656410157426706,0.1045525689793165,-0.030510302282134,0.1017631648279985,-0.03881206654780872
4.808400000000001,39.26133488067409,3.302663075090135,0.1145556558066208,-0.03063553471946313,0.11158449532475545,-0.040130221379305116
5.008333333333334,39.24957124388449,3.4396449193537237,0.1245534151078982,-0.03077179361424364,0.12139147452746027,-0.04152789916823357
5.208266666666668,39.23732968223132,3.5765848805654312,0.134545725144807,-0.03091907730731069,0.1311835094016069,-0.04300498061103999
5.408200000000001,39.224610344774725,3.7134812912672355,0.1445324642453576,-0.03107738400525507,0.1409600078200303,-0.04456134213444037
5.608133333333335,39.211413386392515,3.850332484531418,0.1554197295700556,-0.03119971696802837,0.15162685230514203,-0.04623864550945377
5.808066666666668,39.197738967778285,3.987136793980845,0.1670676094369797,-0.03121994916886243,0.1630506176813218,-0.04796631550195379
6.008000000000001,39.18358725543944,4.123892553809274,0.1787096538736982,-0.031254525182629,0.1744567261998971,-0.04978791435341243
6.207933333333335,39.16895842169521,4.2605980988016245,0.19034572112013,-0.03130344458831119,0.1858444730914483,-0.05170329789479318
6.407866666666668,39.15385264467449,4.397251764354262,0.2019756694889718,-0.03136670679023868,0.1972131546752619,-0.05371231686880027
6.607800000000002,39.13827010831372,4.533851886495268,0.2149260420361885,-0.03145867509919477,0.20987828713395962,-0.055981750366109195
6.807733333333334,39.12221100235464,4.670396801904693,0.2289926368539841,-0.03156163829843786,0.22363687518820408,-0.058483440403909986
7.007666666666668,39.105675522341954,4.80688484793482,0.2430513465461475,-0.03168259465960505,0.23737036825100036,-0.061098708158559153
7.207599999999999,39.08866386962097,4.943314362630404,0.2571101608534029,-0.03182027634181546,0.2510861681725757,-0.06382711769260196
7.407533333333334,39.071176251335146,5.079683684748914,0.2711689085877085,-0.03197468166857876,0.264783425190752,-0.06666854578217077
