name,value
condition,290395447775034.4
alpha_prime_deg,18.447402133653434
gamma_prime_deg,20.662445156066408
Rf_mm,27.35167905356964
Rb_mm,37.3
Rr_mm,38.800000000000004
Rs_mm,40.0
model_Br_min,7.684528569332863e-05
model_Br_max,0.07581919323697131
model_Br_mean,0.05868041974859984
model_Br_rms,0.062168521916988656
model_Bt_min,-0.006634777207458735
model_Bt_max,0.006634777207458735
model_Bt_mean,9.22112146698635e-19
model_Bt_rms,0.0033794895059618088
femm_Br_min,4.9341242015218684e-05
femm_Br_max,0.6272661049020922
femm_Br_mean,0.46727059144078725
femm_Br_rms,0.5228216083135656
femm_Bt_min,-0.08124424582377504
femm_Bt_max,0.08114499821865068
femm_Bt_mean,6.505491991434844e-05
femm_Bt_rms,0.031694979912558735
Br_relative_l2,0.8829680125049021
Bt_relative_l2,0.9225964730247024
Br_best_scalar_to_FEMM,8.292620036100509
Bt_best_scalar_to_FEMM,7.044819191655853
Br_relative_l2_after_best_scalar,0.1663169448275103
Bt_relative_l2_after_best_scalar,0.6601240800612407
