case,target,Br_relative_l2,Br_rms,Br_ref_rms,Br_corr,Bt_relative_l2,Bt_rms,Bt_ref_rms,Bt_corr,Br_excess_over_eq_base,Bt_excess_over_eq_base
FEMM equivalent vs FEMM base,base,0.11659671766707497,0.5106783515674461,0.5454650836083171,0.9754628101030453,0.3799795700189475,0.049044356411385194,0.0540280318593084,0.9251676614655989,0.0,0.0
Br-best analytical,equivalent,0.04646992350961834,0.5210549193728572,0.5106783515674461,0.9961776472105675,0.4395397617350875,0.04610808479509322,0.049044356411385194,0.8991644381257464,,
Br-best analytical,base,0.12477754578586908,0.5210549193728572,0.5454650836083171,0.9669673901451521,0.5110377306282124,0.04610808479509322,0.0540280318593084,0.8595804898639773,0.008180828118794115,0.13105816060926495
balanced analytical,equivalent,0.09289136903055088,0.4820249886931236,0.5106783515674461,0.9889646183236452,0.2234451535660821,0.049007334915009484,0.049044356411385194,0.9750254499563344,,
balanced analytical,base,0.1847667451295371,0.4820249886931236,0.5454650836083171,0.9503106803578711,0.42084263493414487,0.049007334915009484,0.0540280318593084,0.9071337305595112,0.06817002746246215,0.04086306491519737
S1 diagnostic analytical,equivalent,0.07429989232553841,0.5072093600442503,0.5106783515674461,0.9896360750080274,0.22588318216810446,0.05131812099431938,0.049044356411385194,0.9766537204933196,,
S1 diagnostic analytical,base,0.1618829193937291,0.5072093600442503,0.5454650836083171,0.9513225767411907,0.41686409156318477,0.05131812099431938,0.0540280318593084,0.9098483354806666,0.045286201726654124,0.03688452154423727
