current_angle_deg,current_rms_a,Ia_A,Ib_A,Ic_A,torque_one_sector_Nm,torque_total_Nm
0.0,17.6,0.0,-21.555509736491974,21.555509736491974,2.617134058207938,15.702804349247629
15.0,17.6,6.442047106606121,-24.042047106606123,17.600000000000005,2.535699491758136,15.214196950548818
30.0,17.6,12.445079348883237,-24.890158697766477,12.445079348883247,2.224127407828448,13.34476444697069
45.0,17.6,17.600000000000005,-24.042047106606123,6.442047106606128,1.659534399967447,9.957206399804683
60.0,17.6,21.55550973649197,-21.55550973649197,3.048165317948937e-15,0.8944470635784179,5.366682381470508
75.0,17.6,24.042047106606123,-17.599999999999998,-6.442047106606111,0.02742393122633089,0.16454358735798535
90.0,17.6,24.890158697766477,-12.445079348883235,-12.445079348883231,-0.8422400346318425,-5.053440207791055
105.0,17.6,24.042047106606123,-6.442047106606114,-17.6,-1.615680050329393,-9.694080301976358
120.0,17.6,21.555509736491974,0.0,-21.555509736491967,-2.200554949612351,-13.203329697674105
135.0,17.6,17.600000000000005,6.4420471066061245,-24.042047106606123,-2.533596030736724,-15.201576184420343
150.0,17.6,12.445079348883237,12.445079348883244,-24.890158697766477,-2.624078053355701,-15.744468320134207
165.0,17.6,6.442047106606128,17.600000000000005,-24.042047106606127,-2.505281842843679,-15.031691057062073
180.0,17.6,3.048165317948937e-15,21.555509736491974,-21.55550973649198,-2.221591992586356,-13.329551955518134
