apply_s1_correction,s1_theta_offset_deg,s1_scale,s1_condition,solver,Br_rms,Bt_rms,Br_L2_all,Bt_L2_all,Br_L2_edge,Bt_L2_edge,Br_L2_middle,Bt_L2_middle,objective
True,-90.0,0.29999999999999893,645257.9091640739,rowcol,0.5072093600442503,0.051318120994319386,0.0742998923255384,0.22588318216810443,0.13881197221311864,0.2843473550535911,0.05490404676333018,0.16104757601544653,0.30018307449364284
True,30.0,0.29999999999999893,645257.9091640739,rowcol,0.5072093600442503,0.051318120994319386,0.0742998923255384,0.22588318216810443,0.13881197221311864,0.2843473550535911,0.05490404676333018,0.16104757601544653,0.30018307449364284
True,25.0,0.29999999999999893,645257.9091640739,rowcol,0.5068114110970647,0.05125620780804046,0.07475914527754379,0.22584085301729107,0.13881451309291964,0.2833598005576825,0.055635057320740255,0.16239647112147804,0.30059999829483486
True,-85.0,0.29999999999999893,645257.9091640739,rowcol,0.5068114110839933,0.051256207937289334,0.07474545973306124,0.22610919329067752,0.13881454938390728,0.2832750434928138,0.055613296638888914,0.16320622545942615,0.30085465302373876
True,35.0,0.29999999999999893,645257.9091640739,rowcol,0.5068114110839933,0.051256207937289334,0.07474545973306124,0.22610919329067752,0.13881454938390728,0.28327504349281385,0.05561329663888892,0.16320622545942612,0.30085465302373876
True,20.0,0.29999999999999893,645257.9091640739,rowcol,0.5053663351522493,0.05104339958891029,0.07591230852021393,0.22557901570858765,0.13882221298431258,0.28088612882556574,0.05744814538490104,0.1653143380102005,0.3014913242288016
True,-80.0,0.29999999999999893,645257.9091640739,rowcol,0.5053663351391525,0.05104339971857822,0.07588830194659206,0.22634335092649455,0.138822263860336,0.2807461515463518,0.057410611900000706,0.16742419270752232,0.3022316528730866
True,40.0,0.29999999999999893,645257.9091640739,rowcol,0.5053663351391525,0.05104339971857822,0.07588830194659207,0.22634335092649455,0.138822263860336,0.2807461515463518,0.057410611900000706,0.16742419270752232,0.3022316528730866
True,15.0,0.29999999999999893,645257.9091640739,rowcol,0.5024416270542001,0.05066436818398281,0.07760004338997134,0.2250211238213118,0.13883363013981134,0.27876605556154416,0.06005019537382445,0.16692473801611996,0.3026211672112832
True,-90.0,0.14999999999999894,645257.9091640739,rowcol,0.494616780967224,0.0501619122577132,0.080406111131708,0.22335278645810863,0.16063999336986146,0.28220501032413275,0.05422049286614336,0.157684298402827,0.3037588975898166
