dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
slotless FEMM,Br_T,41,-7.741944209688637e-06,-2.8896057866520914e-05,2.9915211187141177e-05
slotless FEMM,Br_T,42,-2.7685000153957464e-05,-3.344864334148926e-05,4.34197072181605e-05
slotless FEMM,Br_T,43,-7.116694011379882e-05,-2.305602406940772e-05,7.48085129584203e-05
slotless FEMM,Br_T,44,-6.631865936342566e-05,-8.382678078416269e-06,6.684634523688222e-05
slotless FEMM,Br_T,45,1.5239993207740311e-05,2.516559128673991e-06,1.5446373775746954e-05
slotless FEMM,Br_T,46,9.748535559613977e-05,5.808333735277502e-06,9.765823721779019e-05
slotless FEMM,Br_T,47,7.04245868985164e-05,4.171301507884257e-06,7.054801340999168e-05
slotless FEMM,Br_T,48,-5.987133690987562e-05,3.241858206667172e-06,5.995904125324195e-05
slotless FEMM,Br_T,49,-0.00014615026121082963,6.062977794261525e-06,0.00014627596710234885
slotless FEMM,Br_T,50,-5.8741246752801e-05,9.370690097077498e-06,5.948398022130765e-05
slotless FEMM,Br_T,51,0.00013880599610872427,9.387443702055833e-06,0.00013912307017527483
slotless FEMM,Br_T,52,0.00023196998464267886,6.339913845306385e-06,0.00023205660577257993
slotless FEMM,Br_T,53,9.662077389109774e-05,4.1679342502410155e-06,9.671062828473903e-05
slotless FEMM,Br_T,54,-0.00013784423049564883,5.080985738801164e-06,0.00013793784215006215
slotless FEMM,Br_T,55,-0.00022202698645188465,7.088241723919088e-06,0.00022214010417671563
slotless FEMM,Br_T,56,-7.584559666023202e-05,7.4211710521241486e-06,7.620779692742392e-05
slotless FEMM,Br_T,57,0.00012110908055994509,5.9439536772875395e-06,0.00012125485548790617
slotless FEMM,Br_T,58,0.00015456752631350887,3.897217585460472e-06,0.00015461665012405902
slotless FEMM,Br_T,59,3.286006885998535e-05,1.5713569949928776e-06,3.289761827684022e-05
slotless FEMM,Br_T,60,-6.8570171900483e-05,-1.2763535912304508e-06,6.858204978674547e-05
slotless FEMM,Bt_T,0,6.527569648294307e-05,0.0,6.527569648294307e-05
slotless FEMM,Bt_T,1,0.00012423928955815602,-0.024761637455747595,0.02476194913351839
slotless FEMM,Bt_T,2,9.922242850285532e-05,-0.03047384366851602,0.030474005201539752
slotless FEMM,Bt_T,3,5.9053948825373466e-05,-0.01615790983145689,0.016158017746319104
slotless FEMM,Bt_T,4,3.263635270280013e-05,0.002697413253515356,0.002697610682021785
slotless FEMM,Bt_T,5,3.908331817885321e-05,0.010653005977941957,0.010653077671350517
slotless FEMM,Bt_T,6,5.108566946005961e-05,0.005759496520111442,0.005759723075877866
slotless FEMM,Bt_T,7,2.474390717989257e-05,-0.002622192527542306,0.0026223092709368274
slotless FEMM,Bt_T,8,-3.826414783830709e-05,-0.005649578101573115,0.005649707680117996
slotless FEMM,Bt_T,9,-8.884107074149888e-05,-0.0025970807883813124,0.0025985998840201995
slotless FEMM,Bt_T,10,-9.40458488167425e-05,0.001542738119254185,0.0015456019947837805
slotless FEMM,Bt_T,11,-7.625515912700334e-05,0.002788866561782161,0.002789908878210924
slotless FEMM,Bt_T,12,-7.655484944829912e-05,0.0013771600941311312,0.0013792862537708834
slotless FEMM,Bt_T,13,-9.910620671719628e-05,-0.0002062411035664056,0.000228817466575785
slotless FEMM,Bt_T,14,-0.0001074256883365346,-0.00047024097817633125,0.0004823555287034773
slotless FEMM,Bt_T,15,-6.938382227285774e-05,0.00015150445663930407,0.00016663647612321343
slotless FEMM,Bt_T,16,8.134467296056634e-06,0.0005989913342733682,0.000599046565880133
slotless FEMM,Bt_T,17,8.547748371852913e-05,0.0004998317073151832,0.0005070878975685205
slotless FEMM,Bt_T,18,0.00012135603844889403,0.00020237334840996925,0.00023597088848981404
slotless FEMM,Bt_T,19,0.00010116344211912894,6.70107879253965e-05,0.00012134450016285376
slotless FEMM,Bt_T,20,4.506549925720198e-05,7.982584238975378e-05,9.166822970110573e-05
slotless FEMM,Bt_T,21,-1.2897936702262812e-05,5.809598989184775e-05,5.951051010274785e-05
slotless FEMM,Bt_T,22,-4.881738163549484e-05,-3.971013866535834e-05,6.292878405441771e-05
slotless FEMM,Bt_T,23,-6.0822959976516493e-05,-0.00010820899935716597,0.00012413146257973467
slotless FEMM,Bt_T,24,-5.827661416889384e-05,-8.384921562187314e-05,0.00010211197147932016
slotless FEMM,Bt_T,25,-5.121597960767053e-05,-2.5675194484888993e-05,5.7291292348926796e-05
slotless FEMM,Bt_T,26,-4.2134296598265276e-05,-1.4913256717664461e-05,4.469568408423293e-05
slotless FEMM,Bt_T,27,-3.2396150407622845e-05,-5.437984273100262e-05,6.32983242802043e-05
slotless FEMM,Bt_T,28,-2.1362172749941108e-05,-9.039449847299213e-05,9.288437855087421e-05
slotless FEMM,Bt_T,29,-1.0332503712792318e-05,-9.682380093013404e-05,9.737355421023253e-05
slotless FEMM,Bt_T,30,-1.8901853988015114e-06,-9.207828108327499e-05,9.209767992784856e-05
slotless FEMM,Bt_T,31,2.960041240913336e-06,-9.058361916577033e-05,9.063196955444157e-05
slotless FEMM,Bt_T,32,5.934708756433642e-06,-7.902117870488699e-05,7.924372184554039e-05
slotless FEMM,Bt_T,33,1.1057345458001265e-05,-4.934245875061123e-05,5.056622513232871e-05
slotless FEMM,Bt_T,34,1.9008819433754847e-05,-2.5735722937217658e-05,3.199472849339914e-05
slotless FEMM,Bt_T,35,2.500445991806562e-05,-3.5711357612367904e-05,4.359500061145288e-05
slotless FEMM,Bt_T,36,2.6425861542085135e-05,-6.79954681997325e-05,7.29500504039736e-05
slotless FEMM,Bt_T,37,2.306696173130042e-05,-8.076495057858498e-05,8.399441627557484e-05
slotless FEMM,Bt_T,38,1.691917316875597e-05,-5.9306494264367476e-05,6.167267371084056e-05
slotless FEMM,Bt_T,39,7.101855623007838e-06,-3.4673262978736686e-05,3.5393099876708735e-05
slotless FEMM,Bt_T,40,-5.301125790119652e-06,-3.6409315368532114e-05,3.6793208344039535e-05
slotless FEMM,Bt_T,41,-1.4860757233733842e-05,-4.589088364822985e-05,4.823707399475368e-05
slotless FEMM,Bt_T,42,-1.4838687606963136e-05,-2.5263190910110212e-05,2.929872804163547e-05
slotless FEMM,Bt_T,43,-4.177601078587335e-06,1.714296355845986e-05,1.7644646506476032e-05
slotless FEMM,Bt_T,44,1.2020413529181215e-05,2.312376382793931e-05,2.6061442688056185e-05
slotless FEMM,Bt_T,45,2.5376735453227526e-05,-3.438564401519655e-05,4.2735830594513046e-05
slotless FEMM,Bt_T,46,3.093875262061668e-05,-9.183447259933962e-05,9.6906020304822e-05
slotless FEMM,Bt_T,47,3.0017193347337754e-05,-6.170639109620467e-05,6.86200451658932e-05
slotless FEMM,Bt_T,48,2.7616961613879085e-05,4.631028225322063e-05,5.3919744168119274e-05
slotless FEMM,Bt_T,49,2.6765481781485704e-05,0.00011121385854343942,0.00011438930608721777
slotless FEMM,Bt_T,50,2.6595596051683425e-05,4.146645619593251e-05,4.926248794766164e-05
slotless FEMM,Bt_T,51,2.38490807366214e-05,-0.00010086523829736779,0.00010364639380493022
slotless FEMM,Bt_T,52,1.7870292135546202e-05,-0.0001604455392668376,0.0001614376610696404
slotless FEMM,Bt_T,53,1.0877561093607282e-05,-7.561122315362173e-05,7.638964852734918e-05
slotless FEMM,Bt_T,54,5.2211891789562185e-06,4.8366728481573056e-05,4.8647725953559836e-05
slotless FEMM,Bt_T,55,2.8395333016234547e-07,7.392383054054806e-05,7.392437589375629e-05
slotless FEMM,Bt_T,56,-5.8680070137810215e-06,-7.391478989231204e-06,9.437556249476323e-06
slotless FEMM,Bt_T,57,-1.3994125410484898e-05,-9.08251635114801e-05,9.189693070441186e-05
slotless FEMM,Bt_T,58,-2.1859981607004263e-05,-0.00010550770010672786,0.00010774847366747144
slotless FEMM,Bt_T,59,-2.714430729262137e-05,-7.468898771621925e-05,7.946859948728057e-05
slotless FEMM,Bt_T,60,-2.9620172767791926e-05,-4.185330286150133e-05,5.1274297608162294e-05
slotted FEMM,Br_T,0,0.45563330640738564,0.0,0.45563330640738564
slotted FEMM,Br_T,1,-0.26158865489474464,-0.00018650208751305988,0.26158872137894335
slotted FEMM,Br_T,2,-0.16586337043962768,-3.907938626173609e-05,0.16586337504341211
slotted FEMM,Br_T,3,-0.06441897626512309,-0.00015955866918016643,0.06441917386939545
slotted FEMM,Br_T,4,-0.0030594608409151933,-6.465590235108361e-05,0.003060143954588139
slotted FEMM,Br_T,5,0.007677228559710446,-0.00014926923086580588,0.007678679551935802
slotted FEMM,Br_T,6,0.06984438660931613,-6.526314017825084e-05,0.06984441710050335
slotted FEMM,Br_T,7,-0.02394072375062691,-0.00027036410739205016,0.023942250321437982
slotted FEMM,Br_T,8,-0.020424105724288006,-0.0001284980914335973,0.02042450994262521
slotted FEMM,Br_T,9,-0.004010887224743838,0.0004310268136038911,0.0040339807192968655
slotted FEMM,Br_T,10,0.010684748748995847,9.327357465082592e-05,0.01068515586170349
slotted FEMM,Br_T,11,0.016826244708799128,-9.496825699039361e-05,0.01682651270971577
slotted FEMM,Br_T,12,-0.03478317203561976,-0.0005252638218242481,0.03478713783774166
slotted FEMM,Br_T,13,0.009906009960465017,6.72837331756017e-05,0.00990623846056525
slotted FEMM,Br_T,14,0.005330611936591417,0.0002432605654995731,0.005336159604177715
slotted FEMM,Br_T,15,0.0005048594117521776,-5.753045973830446e-05,0.0005081267356009281
slotted FEMM,Br_T,16,-0.0025701510842875983,5.4711625971017444e-05,0.0025707333502487397
slotted FEMM,Br_T,17,-0.004813698377210782,-0.0002723063643571377,0.0048213942820341
slotted FEMM,Br_T,18,0.01619182425962606,0.000109774012572522,0.016192196367029746
