angle_deg,lambda_a_raw,lambda_b_raw,lambda_a,lambda_b
0.01,1.1670002492467597,0.011088539566086242,1.0683633151530731,0.005915716310387722
0.20993333333333336,1.151957397917814,0.029674872280549713,1.0649726177779177,0.0034643130059977237
0.40986666666666677,1.1737336694925624,0.019216698646059925,1.061243743049813,0.0016579404061325387
0.6098000000000001,1.1459100456868858,-0.016366206810406275,1.0599130518835778,0.003082015676808351
0.8097333333333334,1.1325388671884142,0.06045223168088608,1.0622433689077102,0.00800460223995704
1.0096666666666667,1.1670723629061306,0.05173535344939133,1.0664554468276157,0.014243556306874332
1.2096000000000002,1.2181204232632732,0.07009772709448338,1.0687939314620203,0.018917579730948552
1.4095333333333337,1.2238304285950499,0.12081994965443446,1.0665604270374858,0.02059596876103148
1.609466666666667,1.1719742680934002,0.09388502270804525,1.060614081580567,0.020155910586043674
1.8094000000000001,1.1312740199435847,0.051972933477010645,1.055128709945985,0.01986390835057039
2.0093333333333336,1.0532672120657764,0.10406723648952265,1.054608277011548,0.02170836107076476
2.209266666666667,1.1769574589001888,0.05618742268178125,1.0604133178829063,0.02650085905396317
2.4092000000000007,1.2927597060529312,0.04437117348931731,1.0694284015681732,0.034366498491298636
2.609133333333334,1.2685253520594533,0.09686635756013728,1.0757382565210243,0.045838074531904756
2.8090666666666677,1.2266411895671545,0.1409490846952732,1.0738432040789494,0.06216267133507046
3.009000000000001,1.2201087062365987,0.16693473213467314,1.0610027392095542,0.0841772162679284
3.2089333333333343,1.2007540020017704,0.2056026880294849,1.0373942557648688,0.11053108356372959
3.4088666666666674,1.142748407123531,0.263944795008745,1.0047521315653065,0.13683690360024073
3.6088000000000005,1.0955210723844453,0.307152234941353,0.9651942150377298,0.15676746010145354
3.8087333333333344,1.0238081691483316,0.3326977226124981,0.9212472967945878,0.1646350938900488
4.0086666666666675,0.9656455400421109,0.3503715493780339,0.8765203108040345,0.1578254197625328
4.2086000000000015,0.9442429422361609,0.3109044204508978,0.8356662044095905,0.13755454544953571
4.4085333333333345,0.9028940861795332,0.257283057781096,0.8030156060363747,0.10765099950429857
4.608466666666667,0.8497282179994985,0.20844962222183863,0.7807834034128116,0.07240073972112612
4.808400000000001,0.822936665984122,0.17983762651120902,0.7684768461968897,0.034920446380084534
5.008333333333334,0.8059561322218107,0.14024205573166895,0.7642482249544775,-0.0031389601536347942
5.208266666666668,0.8165144690976645,0.0910408426550071,0.7671831691527216,-0.040819080960676664
5.408200000000001,0.8158193540488852,0.03133938559204757,0.7785378207107734,-0.07686848239015356
5.608133333333335,0.826459609157296,-0.013888143235066715,0.8007232569018632,-0.1092325918386157
5.808066666666668,0.8397857799477386,-0.031304217383766986,0.8347592180446932,-0.13516028511265243
6.008000000000001,0.8815220018786782,-0.05449521341535594,0.87828220101485,-0.1517176365539741
6.207933333333335,0.9267515736974548,-0.07788103513661604,0.9257710178120632,-0.15652371380729774
6.407866666666668,0.9668288113585306,-0.07941454656350899,0.9708215233144623,-0.14863110984912387
6.607800000000002,0.9944899337825082,-0.07672234342506687,1.0086911767691875,-0.12934087094207122
6.807733333333334,1.012306874135428,-0.06229532636660574,1.0373328878782324,-0.10245274483857739
7.007666666666668,1.023998410509859,-0.04795999069783424,1.0566397474894567,-0.07344717271960119
7.207599999999999,1.0334713585890667,-0.02966743673957503,1.0671679339259792,-0.04765550559862308
7.407533333333334,1.0459953621887355,-0.018931179787120857,1.0697726913892471,-0.028293378283140685
7.607466666666668,1.0546890893076897,-0.006826532983781539,1.066325677189826,-0.015579878533689378
7.807400000000001,1.0450799635420271,-0.007228353934538686,1.0603093234454315,-0.007565052367481008
8.007333333333333,1.0407782843435032,-0.008163874661011617,1.0560196648951665,-0.002068474865846992
8.207266666666667,1.042551614083894,-0.010342940541121226,1.0564750612601532,0.0017355317110795722
8.407200000000001,1.0449276448353482,-0.01145501167595382,1.0616095838912831,0.003268195900047875
8.607133333333334,1.0451009778956253,-0.0071312174827468785,1.0684200029150812,0.0019263367670096898
8.807066666666667,1.0449593957006493,0.0017148609254619986,1.0732022339054756,-0.0014521637125075424
9.007000000000001,1.0446037254747305,0.009820782102750038,1.0741877137390379,-0.004480169663583785
9.206933333333332,1.0403180587541687,0.00936123783717639,1.072467683764375,-0.004726759373395333
9.406866666666668,1.0351228233039786,-0.0027090161708836465,1.0705410923076908,-0.0016146788243499486
9.606800000000002,1.0361870067708279,-0.012293859897341644,1.0698877508506333,0.0029766264880669905
9.806733333333336,1.0417325863859734,-0.017500662610673894,1.0697867242944574,0.0060741264992512254
10.006666666666666,1.0474365164986081,-0.006980822645665692,1.068404418677218,0.0059437409508494975
10.206600000000002,1.0525780711811048,5.8096300257103286e-05,1.0650392767538643,0.003508969594432173
10.406533333333336,1.0522563562596114,0.004720600970143353,1.0612932773442734,0.0016662754800552985
10.606466666666668,1.0490792220978142,0.004702437188882348,1.059904765774574,0.0030264097859296246
10.8064,1.051639983985128,0.003735388797660319,1.062180061692589,0.007903399600965819
11.006333333333334,1.0562491169379835,-0.00280374800226394,1.066389718627689,0.014145365851404983
11.20626666666667,1.052739586095305,-0.0019608999900195003,1.068789029134214,0.018863471978976965
11.4062,1.0427087448042989,0.004291963174023965,1.0666361076281867,0.020590610555744546
11.606133333333334,1.0404079478862749,0.008839108832712828,1.060723640949146,0.020168819740403597
11.806066666666668,1.046299468361258,0.011090225415894224,1.0551892383570487,0.019855267656639072
12.006000000000002,1.052138315945374,0.013955183451230535,1.054562576982717,0.02165414877723101
12.205933333333334,1.0521481351738462,0.021926340777323763,1.0602760664171789,0.026396130113275556
12.405866666666668,1.0476534304365064,0.02804166871177077,1.0692825999931395,0.03420849799873035
12.605800000000002,1.0466112945299177,0.04126008303051492,1.0756881013110395,0.04561091446762114
12.805733333333334,1.0430767301314614,0.05646399906714941,1.073961444168806,0.061844098150726244
13.005666666666668,1.0358644566827686,0.07206265017174511,1.0613086325630654,0.08376665751292872
13.205600000000002,1.0159108138994493,0.09491053784840447,1.0378676075030522,0.11007607095470962
13.405533333333334,0.9860976225588273,0.12170016904924841,1.0053591382042812,0.13643227036542532
13.605466666666667,0.9474073998439334,0.1370137010190608,0.9658978852612213,0.15652147008690084
13.805400000000002,0.9026155821616286,0.148461699091939,0.9219982519021781,0.16462243083788444
14.005333333333335,0.8542036117417836,0.13801400604910494,0.8772478123475969,0.15805738930193983
14.205266666666668,0.8125041942558279,0.1213388612029335,0.8362900521654705,0.13798394163321906
14.405199999999999,0.7749514489498577,0.10021853373000945,0.8034767650967767,0.10820424759596745
14.605133333333335,0.7517839729200454,0.06937747564770869,0.7810682365844392,0.07301314049149424
14.80506666666667,0.7370084520788373,0.03468909339452935,0.7686107411431933,0.03555310695651492
15.005000000000003,0.7358482434090615,0.0031147038245988154,0.7642603502579546,-0.002504935311869467
15.204933333333337,0.7381516311743093,-0.03327030537844138,0.7670714925813693,-0.040199752118327256
15.404866666666669,0.7514716294107785,-0.06603597659106186,0.7782660512742343,-0.0762907973802103
15.604800000000004,0.7638644305540684,-0.09105849692075717,0.8002550119342117,-0.10873751733545681
15.804733333333333,0.8010245989152468,-0.10926321470610487,0.8341022438292093,-0.1347969767513259
16.00466666666667,0.845224306205234,-0.12830893655107137,0.8775059117340184,-0.15153276192254142
16.204600000000003,0.8906403035357503,-0.14071454862342153,0.9249826143830537,-0.15654777323630073
16.404533333333333,0.9429295034460031,-0.1314065723712973,0.970119833150077,-0.14886329527940284
16.60446666666667,0.9791278106998221,-0.11305332434139931,1.008133206097305,-0.12973842444035297
16.804400000000005,1.0007728802453708,-0.09152769080408556,1.036933081307966,-0.1029346073481131
17.004333333333335,1.022194603666967,-0.06981247065962462,1.0563915978035805,-0.0739172402186917
