angle_deg,lambda_a,lambda_b
0.01,1.0645353583513861,1.2700543495623272e-08
0.20993333333333336,1.0645353470465813,5.1318119888207846e-08
0.4098666666666667,1.06453530302351,1.9518238793006879e-07
0.6098000000000001,1.0645351416246889,6.986577909955421e-07
0.8097333333333334,1.0645345846287835,2.3532359060960436e-06
1.0096666666666667,1.0645327755653018,7.45684836158097e-06
1.2096000000000002,1.0645272470069016,2.222451224664581e-05
1.4095333333333335,1.0645113535857529,6.228419876062023e-05
1.6094666666666668,1.0644683857961128,0.00016407919517499368
1.8094000000000001,1.0643591817320777,0.0004061580858447831
2.009333333333333,1.0640983704362366,0.0009442929020574191
2.2092666666666667,1.063513322498154,0.002060875495009937
2.4092000000000002,1.0622814285909095,0.004219303176035125
2.6091333333333333,1.059848380652629,0.008096817641763513
2.809066666666667,1.0553451801624332,0.014548527819002417
3.009,1.0475437839441288,0.024443914680046516
3.2089333333333334,1.0349128383494601,0.03833536404984098
3.408866666666667,1.0158398290093062,0.05598368533305239
3.6088,0.9890548354656563,0.07587352769125334
3.8087333333333335,0.9542140427196832,0.09495858259475311
4.008666666666667,0.912493667668018,0.1089050947623205
4.208600000000001,0.8669545877859165,0.11298128658324025
4.408533333333334,0.8224294507595695,0.10346690413021738
4.608466666666667,0.7848016348471513,0.07913695961029164
4.808400000000001,0.7597718295915863,0.042191434418831414
5.008333333333334,0.7514520685546631,-0.0018851435866985063
5.208266666666667,0.7612611263235833,-0.0456374184921917
5.4082,0.787528920495954,-0.08170124149265595
5.608133333333334,0.8259614522480987,-0.10483047265540552
5.808066666666667,0.8707884650272365,-0.11312217194570076
6.008,0.9161724695577527,-0.10805667775036341
6.207933333333334,0.9574094441746316,-0.09349821264078309
6.407866666666667,0.9915992601286592,-0.0741941838013065
6.6078,1.0177112802588115,-0.05439601437619185
6.807733333333334,1.036190475737868,-0.037023278197000735
7.007666666666667,1.048356092955383,-0.023470172927324572
7.2076,1.0558272941378442,-0.01389018312528922
7.407533333333334,1.060115960648695,-0.007687790290919428
7.607466666666667,1.0624204913068447,-0.003984449673943383
7.8074,1.0635810663590637,-0.0019357664819282512
8.007333333333333,1.064129329464364,-0.0008822832939228292
8.207266666666667,1.0643724633135145,-0.0003775009982769534
8.407200000000001,1.0644737374999527,-0.00015171060314744534
8.607133333333334,1.0645133799083868,-5.7292068955316236e-05
8.807066666666667,1.0645279682177116,-2.03383409051956e-05
9.007000000000001,1.0645330169394505,-6.7891568407590875e-06
9.206933333333334,1.0645346606109694,-2.1316324159305745e-06
9.406866666666668,1.0645351641269674,-6.296591400317516e-07
9.606800000000002,1.0645353092943046,-1.7501795397509345e-07
9.806733333333334,1.0645353486912428,-4.578462324624904e-08
10.006666666666668,1.0645353584365052,1.2401924926224746e-08
10.2066,1.0645353473906882,5.0162032584473605e-08
10.406533333333334,1.0645353043329389,1.909781432933689e-07
10.606466666666668,1.0645351463141712,6.843013466461866e-07
10.8064,1.0645346004320089,2.3072229983175403e-06
11.006333333333334,1.0645328256674411,7.318502232698089e-06
11.206266666666668,1.0645273964083584,2.1834525206712337e-05
11.4062,1.0645117724981483,6.125423784859319e-05
11.606133333333334,1.0644694899328746,0.0001615329129538669
11.806066666666668,1.0643619163081115,0.0004002716540323491
12.006,1.064104731488939,0.0009315844990911164
12.205933333333334,1.0635272125414268,0.0020352952478669348
12.405866666666668,1.0623098813809697,0.004171400353200716
12.6058,1.0599030110233303,0.008013599967830043
12.805733333333334,1.055443395382685,0.01441494599515868
13.005666666666668,1.0477088949559696,0.024246913971766683
13.2056,1.0351719326366196,0.038070784117111
13.405533333333334,1.0162184310183289,0.05566478956098992
13.605466666666668,0.9895682752281947,0.07553797197116255
13.8054,0.954857075595156,0.09466925378426895
14.005333333333335,0.9132317113451968,0.10874085864990762
14.205266666666668,0.8677209553005099,0.1130170849828503
14.4052,0.8231321234267119,0.10374802528872362
14.605133333333335,0.7853401108320403,0.07965706268220865
14.805066666666669,0.7600603261591707,0.0428848195288036
15.005,0.7514418402875288,-0.0011311231040114125
15.204933333333335,0.7609539328192508,-0.04495247338524479
15.404866666666669,0.7869765314919452,-0.08119566784026348
15.604800000000001,0.8252513813474346,-0.10456616841685823
15.804733333333335,0.8700213332424817,-0.11310158914628357
16.00466666666667,0.9154390292765421,-0.10823176523285119
16.204600000000003,0.9567743349345458,-0.09379298717983321
16.404533333333337,0.9910949320302476,-0.07453033069243607
16.60446666666667,1.0173412924641845,-0.05471216661837666
16.804400000000005,1.0359385003788906,-0.0372835259868359
17.004333333333335,1.0481962650969676,-0.023662671886594832
17.20426666666667,1.0557326508205904,-0.0140199468488632
17.404200000000003,1.0600635494723036,-0.007768192092901511
17.604133333333337,1.062393312713389,-0.004030495474613124
17.80406666666667,1.0635678550881826,-0.0019602350120282246
18.004000000000005,1.0641233048383698,-0.0008943819987733176
18.203933333333335,1.0643698842119822,-0.0003830792551737674
18.40386666666667,1.0644727004663181,-0.00015411271587382802
18.603800000000003,1.064512988079409,-5.8259414214888496e-05
18.803733333333337,1.0645278290490334,-2.0703020964280843e-05
19.00366666666667,1.064532970459598,-6.917967648349931e-06
19.203600000000005,1.0645346460099472,-2.1742910642299735e-06
19.403533333333336,1.0645351598117987,-6.429126886862839e-07
19.60346666666667,1.0645353080942652,-1.78882910077113e-07
19.803400000000003,1.0645353483771536,-4.684297507657116e-08
20.003333333333337,1.0645353585196222,1.2110124345511647e-08
20.20326666666667,1.0645353477270405,4.9031164835361525e-08
20.403200000000002,1.0645353056141518,1.8686130772341891e-07
20.603133333333336,1.0645351509072525,6.702285735124662e-07
20.80306666666667,1.0645346159261024,2.26207140335297e-06
21.003000000000004,1.064532874839623,7.182600496322212e-06
21.202933333333338,1.0645275431869252,2.145101455211644e-05
21.40286666666667,1.0645121844796785,6.024027302979434e-05
21.602800000000002,1.064470576925583,0.00015902339452363322
21.802733333333336,1.0643646112286302,0.00039446366096165694
22.00266666666667,1.0641110068788402,0.0009190309760942545
22.202600000000004,1.0635409300554841,0.002009996817649553
22.402533333333338,1.062338010886771,0.004123967210734972
22.602466666666672,1.0599570794194806,0.007931092665643378
22.802400000000002,1.0555407079036836,0.014282324438286705
23.002333333333336,1.047872673725128,0.024051040896049355
23.20226666666667,1.0354292361849082,0.03780728220617407
23.402200000000004,1.0165948725304437,0.05534656433269753
23.602133333333338,0.9900794386371761,0.07520224219468978
23.802066666666672,0.9554981414872854,0.09437853004656604
24.002000000000002,0.9139686318447507,0.10857387732337775
