fit_kind,apply_s1_correction,theta_offset_deg,structure2_scale,structure1_scale,structure1_condition,solver_scaling,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,Br_rms,Bt_rms
edge_Br_only_kS1,False,-90.0,1.0,-1.4551555973080386,854207.4949590549,rowcol,0.28493635612313195,0.5975014480889875,0.1729061689948248,1.3285099235053086,0.28534583401236546,0.5937904571811365,0.28514135072383573,0.5956399895228652,0.19209028334082115,0.6038769158618874,0.4414330621406988,0.022118526174415613
edge_BrBt_kS1,False,-90.0,1.0,-1.4553840729485603,854207.4949590549,rowcol,0.284936312153323,0.5975011709596546,0.1729326651820522,1.3285082199720104,0.28534588286272466,0.5937905527737761,0.2851413532387278,0.595639899063641,0.1921108858545121,0.6038768010030391,0.44141825935630974,0.022117729680124078
all_BrBt_kS1,False,-90.0,1.0,-0.34269226247830015,854207.4949590549,rowcol,0.3396317714273048,0.612742387344265,0.04642936731405403,1.340755325067255,0.3395069908659754,0.6072126876807719,0.33956933137083445,0.6099706117001457,0.13254217342809813,0.61810391064997,0.5135622726629772,0.026030206067083877
edge_BrBt_cS2_kS1,False,-90.0,4.8874074627154585,-29.031762669764483,854207.4949590549,rowcol,0.03384104384211064,0.26149094245667986,0.5064892388370692,8.202104159337017,0.033960281882680604,0.26102676535165475,0.0339007683282519,0.26125784962799237,0.47090042295378043,0.7342624264812861,0.7516043861988175,0.04099352462559595
all_BrBt_cS2_kS1,False,-90.0,2.1262807611619454,-9.57134159383351,854207.4949590549,rowcol,0.20664060756852198,0.4298039480695974,0.05306508443399464,3.282182009876852,0.20718357745759047,0.4273261560136884,0.20691251215220458,0.428560931589887,0.0909046269814048,0.5077966815867963,0.5207420833622777,0.025628999611278853
edge_Br_only_kS1,False,-88.0,1.0,-1.3846415379982444,854207.4949590549,rowcol,0.2552301617280623,0.580677486771866,0.16431548392091233,1.2925477350383272,0.3271628590694484,0.6188374158791377,0.2934410019673344,0.6001518512549571,0.1872173829237193,0.607753520977621,0.4467960234868915,0.02247664504726064
edge_BrBt_kS1,False,-88.0,1.0,-1.384028913069392,854207.4949590549,rowcol,0.25523306533220114,0.5806901529657913,0.1642446294490593,1.2925648091072142,0.32716062978994215,0.618824380926274,0.2934410197705515,0.6001511972883579,0.18716367374192497,0.6077531341436063,0.4468352967458285,0.022478723611218037
all_BrBt_kS1,False,-88.0,1.0,-0.3303954389570586,854207.4949590549,rowcol,0.3300012264883321,0.6104374893377678,0.044982243147483364,1.330682280265654,0.35381254705727994,0.6122439860971477,0.3421246952240121,0.6113457146265282,0.13300536119093964,0.6192992567672921,0.5145241460821856,0.026096872079041246
edge_BrBt_cS2_kS1,False,-88.0,1.008109258394236,-1.4392181121763599,854207.4949590549,rowcol,0.2536147557572981,0.5788283867227165,0.1626173542881659,1.304787427282667,0.3284944637194333,0.6185774366097666,0.2934858059268002,0.5991274653470577,0.18594185376663136,0.6069325895588884,0.447640591916255,0.022511924834610272
all_BrBt_cS2_kS1,False,-88.0,1.2911453346274435,-2.697833764119925,854207.4949590549,rowcol,0.22154444449073052,0.5421110515855775,0.03717071560575171,1.7646952596600365,0.4074809666747547,0.5997002649210464,0.32804476448276076,0.5717685462808404,0.12590027061676848,0.5885985098578767,0.5186444413662259,0.025965354149197494
edge_Br_only_kS1,False,-86.0,1.0,-1.188964374957422,854207.4949590549,rowcol,0.23959943658743937,0.5804766387771275,0.14054878200832727,1.2141044167830028,0.37347780581739554,0.6388460033964148,0.313820477682217,0.610498534862377,0.17457730210308006,0.6167860969265893,0.46130374364907445,0.02341227853403054
edge_BrBt_kS1,False,-86.0,1.0,-1.18628065280874,854207.4949590549,rowcol,0.23968327979546653,0.5805612273561884,0.1402412304739474,1.21432451232817,0.373424658637163,0.638745422620927,0.3138208104938362,0.6104856877265598,0.17436360776125856,0.6167765057431144,0.46147078983085166,0.023420721383312373
all_BrBt_kS1,False,-86.0,1.0,-0.2955908876177332,854207.4949590549,rowcol,0.3272655134536508,0.6114334967541368,0.04095377422112147,1.3072996757828226,0.3689616666298895,0.6179148971602813,0.3487558280153073,0.6146982016588061,0.13422139833381538,0.6222386044836175,0.5171970461889448,0.026277412119264557
edge_BrBt_cS2_kS1,False,-86.0,0.8404606874695562,-0.2294360985239845,854207.4949590549,rowcol,0.286687757650752,0.6180995546916668,0.18822806129936576,1.044885520510186,0.3100014710923533,0.6271519251924735,0.298582617414444,0.6226637861019917,0.20675333248871378,0.6266125983387405,0.4358778475613469,0.022147116926324942
all_BrBt_cS2_kS1,False,-86.0,1.0226142967448182,-0.47531133403451276,854207.4949590549,rowcol,0.31430262915161006,0.6061233066819605,0.03952385029308024,1.3251542983535929,0.38139712439420914,0.6199410739701848,0.34949351735323836,0.6131040820202115,0.1341124098800558,0.6209401341576789,0.5180262003202106,0.02630888470235674
edge_Br_only_kS1,False,-84.0,1.0,-0.9145588951710645,854207.4949590549,rowcol,0.24414658704172104,0.5931173530300308,0.10751645186158645,1.1506941764648662,0.40892396169663464,0.646917573659913,0.3368398002084791,0.6207289481570928,0.15949664142855988,0.6260049103683688,0.48076130649009013,0.02459125450768424
edge_BrBt_kS1,False,-84.0,1.0,-0.9092638360785674,854207.4949590549,rowcol,0.24458213476740592,0.5932832881433172,0.10692140230089386,1.1515379335924878,0.4086662001669509,0.6466661194154664,0.33684109497346676,0.6206762244846309,0.15915111092304032,0.6259638690854252,0.4810768185613128,0.024606134433221818
all_BrBt_kS1,False,-84.0,1.0,-0.2441750531524562,854207.4949590549,rowcol,0.3312500616832064,0.6146968845885297,0.03525310166981069,1.2851964681528563,0.3809551180295761,0.6221001305260209,0.35699082633354107,0.6184272470338158,0.13576347039532322,0.6255761733507166,0.521006198494711,0.026521836553998705
edge_BrBt_cS2_kS1,False,-84.0,0.8114670066092842,0.002589878615603453,854207.4949590549,rowcol,0.2991016410671003,0.6271372489840067,0.19028660962946203,1.0258610445117815,0.2990908187547905,0.6228873711694927,0.29909622514569556,0.625005783563557,0.20847496990238698,0.6287041361387372,0.43494069158790105,0.022117087308983378
all_BrBt_cS2_kS1,False,-84.0,0.9578119079998607,0.07855342897160016,854207.4949590549,rowcol,0.35925135086993054,0.6226888933939737,0.039951837165589206,1.292185250075718,0.3431164282485146,0.6126548469895048,0.3512693653040088,0.6176683078258655,0.13485184215006307,0.6249321627476764,0.5179677358870687,0.026331869319611838
edge_Br_only_kS1,False,-82.0,1.0,-0.6249720641843843,854207.4949590549,rowcol,0.27074412852715285,0.6079511988161745,0.07342289250028149,1.141588062174989,0.42286518247088883,0.6442369005558104,0.3551135157433631,0.6264433873154668,0.14775920212769222,0.6315163097057227,0.5001542999233989,0.025672364499027687
edge_BrBt_kS1,False,-82.0,1.0,-0.6172088900348259,854207.4949590549,rowcol,0.2717696276677183,0.6081344002377785,0.07258507502792452,1.1435653922035303,0.4222128947488668,0.6438264912236287,0.35511642180472475,0.6263198883737217,0.14740215912012108,0.631419731820305,0.5005922800525289,0.025691255072545265
all_BrBt_kS1,False,-82.0,1.0,-0.1844316449064639,854207.4949590549,rowcol,0.33984969829776807,0.6184119483256708,0.029226984084430713,1.2772252816911092,0.3872671387822782,0.6236587962211549,0.3643517041428991,0.6210534301595131,0.1371834007556285,0.6280403901828219,0.5252029189215616,0.026771006450183564
edge_BrBt_cS2_kS1,False,-82.0,0.8048761679969781,0.07848751075325522,854207.4949590549,rowcol,0.30521703476367973,0.6294196464992735,0.18844340329246564,1.0439291665069064,0.29247363706585,0.618598053557686,0.2989075863387148,0.6240064921199671,0.20698659842030417,0.6279263770835931,0.4357809746879353,0.022134700257084895
all_BrBt_cS2_kS1,False,-82.0,0.9389318619228119,0.25841354735839583,854207.4949590549,rowcol,0.3804930126514454,0.6255335303733989,0.03971186871156483,1.3437072296284143,0.31505339420673606,0.603437722628218,0.34928003015918835,0.6145322277101882,0.1340846309869571,0.6226190982059753,0.5180285011508572,0.02626238092290314
edge_Br_only_kS1,False,-80.0,1.0,-0.3751015539173272,854207.4949590549,rowcol,0.30679754201793924,0.6178470327093173,0.04559023652169741,1.1844797687854898,0.41712321168817085,0.6359734698557754,0.3661881767892211,0.6270189984066102,0.1416316487113794,0.6326360249380183,0.515796548505467,0.026458682630861288
