angle_deg,lambda_a,lambda_b
0.01,0.9848817111113534,0.029336884833063435
0.20993333333333336,0.98121582186661,0.03499005026834903
0.40986666666666677,0.9768672830214433,0.04129169929542485
0.6098000000000001,0.9717638175877211,0.04820599981921155
0.8097333333333334,0.9658390294133558,0.055665059047459664
1.0096666666666667,0.9590362872481802,0.06356518256800908
1.2096000000000002,0.9513129668297848,0.07176441760506062
1.409533333333334,0.9426448793423562,0.08008181496611162
1.609466666666667,0.9330306671213049,0.08829880003039935
1.8094000000000001,0.9224959074439387,0.09616295650418245
2.0093333333333336,0.9110966375430687,0.1033943976914041
2.209266666666667,0.8989220032251255,0.10969473327341167
2.4092000000000007,0.8860957434931289,0.1147584443807136
2.609133333333334,0.8727762568671225,0.11828626990108894
2.8090666666666677,0.8591550523607908,0.12
3.009000000000001,0.8454534678706138,0.11965788848737476
3.2089333333333343,0.8319176373244912,0.11706975407144639
3.4088666666666674,0.8188117993670395,0.11211075999042511
3.6088000000000005,0.8064101567985676,0.10473285622522828
3.8087333333333344,0.7949876083113605,0.09497294659232754
4.0086666666666675,0.7848097726536,0.08295700500818316
4.2086000000000015,0.7761228009870071,0.06889960325778893
4.4085333333333345,0.7691435180480344,0.05309861064887025
4.608466666666667,0.7640504411822798,0.035925160901120426
4.808400000000001,0.7609761957507604,0.017809325415557294
5.008333333333334,0.7600017765222171,-0.0007777456512434349
5.208266666666668,0.7611530016293713,-0.019344181770987994
5.408200000000001,0.7643993758003713,-0.03739902219413862
5.608133333333335,0.7696554327319413,-0.05447379010961707
5.808066666666668,0.7767844741213089,-0.07014268747370145
6.008000000000001,0.7856044770217109,-0.08404019564409752
6.207933333333335,0.7958958132093514,-0.09587506909358517
6.407866666666668,0.8074103238209749,-0.10543998608477695
6.607800000000002,0.8198812267182441,-0.1126164454197396
6.807733333333334,0.8330333067382631,-0.11737484258643638
7.007666666666668,0.846592850627835,-0.11976999153502998
7.207599999999999,0.8602968361195618,-0.11993265215990556
7.407533333333334,0.8739009624815154,-0.11805785576954517
7.607466666666668,0.8871862099682838,-0.11439097600798909
7.807400000000001,0.8999637286373938,-0.10921256370460683
8.007333333333333,0.9120779733527449,-0.10282295216123699
8.207266666666667,0.9234081124331182,-0.09552755313332033
8.407200000000001,0.9338678346262155,-0.0876236178654461
8.607133333333334,0.9434037571190689,-0.07938905053597652
8.807066666666667,0.9519926925872141,-0.07107365352274445
9.007000000000003,0.9596380645828857,-0.06289297465683474
9.206933333333332,0.9663657687323343,-0.05502473332286217
9.406866666666668,0.9722197648835263,-0.04760763836784847
9.606800000000002,0.9772576564308365,-0.040742285224519906
9.806733333333336,0.9815464722034694,-0.034493736622297155
10.006666666666666,0.9849374691036404,0.029248211860814527
10.206600000000002,0.9812823301697456,0.034890425378776
10.406533333333336,0.9769457763515776,0.04118147347302097
10.606466666666668,0.9718554629286409,0.048086021455664325
10.8064,0.9659448650565998,0.05553674466676959
11.006333333333334,0.9591571546955362,0.06343056990396902
11.20626666666667,0.9514494379955551,0.0716261936414909
11.4062,0.9427971823202441,0.07994331194286589
11.606133333333334,0.9331986145248238,0.08816395349707754
11.806066666666668,0.9226788319091069,0.09603622130104494
12.006000000000002,0.9112933393171376,0.10328062021620986
12.205933333333334,0.899130714783207,0.1095989814387292
12.405866666666668,0.886314115771478,0.1146858000848555
12.605800000000002,0.8730013709493981,0.11824159236342277
12.805733333333334,0.8593834593070224,0.11998767163308609
13.005666666666668,0.8456812578806001,0.11968155775599984
13.205600000000002,0.8321405376590034,0.11713209169534916
13.405533333333334,0.8190252985274248,0.11221324560563323
13.605466666666667,0.8066096505312352,0.10487561203631436
