objective,Br_L2,Bt_L2,alpha_deg,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.3163365225966328,0.09289136903055085,0.22344515356608197,52.25,0.32,0.14,1.0,11.5,0.07999999999999999
0.31634862510787437,0.09988540416630652,0.21646322094156784,52.25,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.31634882980473067,0.09337970078540678,0.2229691290193239,52.25,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.31674864890614124,0.09933751656193107,0.21741113234421017,52.25,0.32,0.14,1.0,12.0,0.07999999999999999
0.316779243567594,0.08646285339106134,0.2303163901765327,52.5,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.31679819176533075,0.08601463600816715,0.2307835557571636,52.5,0.32,0.14,1.0,11.5,0.07999999999999999
0.3168756309531849,0.09301502009906837,0.22386061085411652,52.5,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.31711765178270324,0.09302904294377073,0.2240886088389325,52.25,0.34,0.14,1.0,11.5,0.07999999999999999
0.31711914472482416,0.09446321635484711,0.22265592836997708,52.25,0.28,0.14,1.0,11.5,0.07999999999999999
0.31718865426584675,0.09992972942531074,0.217258924840536,52.0,0.32,0.14,1.0,11.5,0.07999999999999999
0.31723984171539127,0.09413808503647639,0.22310175667891488,52.5,0.28,0.14,1.0,12.0,0.07999999999999999
0.31728837752840033,0.0924941602254593,0.22479421730294102,52.5,0.32,0.14,1.0,12.0,0.07999999999999999
0.317575652682177,0.08756321952724386,0.23001243315493317,52.5,0.28,0.14,1.0,11.5,0.07999999999999999
0.3176707847260595,0.08625218402080338,0.2314186007052561,52.5,0.34,0.14,1.0,11.5,0.07999999999999999
0.31788891057101853,0.09998426667699473,0.2179046438940238,52.0,0.34,0.14,1.0,11.5,0.07999999999999999
0.3179090622253245,0.0993717177014538,0.2185373445238707,52.25,0.34,0.14,1.0,12.0,0.07999999999999999
0.3181256738204611,0.10044873645198887,0.21677946446449448,52.0,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.3183038699585864,0.09992972942531074,0.21837414053327567,52.0,0.32,0.14,1.0,11.5,0.09999999999999999
