angle_deg,x_mm,y_mm,Bx_T,By_T,Br_T,Bt_T
0.01,39.399999399903685,0.00687659721794547,1.78697097669902e-05,-0.001519809623317858,1.7604452676861744e-05,-0.0015198127190225363
0.20993333333333336,39.39973552582039,0.1443623753145917,8.799505619121416e-05,-0.001597938457828671,8.213958756687461e-05,-0.0015982501472161076
0.40986666666666677,39.39899189838874,0.28184639557372937,0.0002168091686432763,-0.001780100737868125,0.00020406973863316182,-0.0017816061277231353
0.6098000000000001,39.39776852666357,0.41932698391257134,0.0003394074413453517,-0.002252708238687137,0.0003154130573347115,-0.002256192904685295
0.8097333333333334,39.39606542554134,0.5568024662901193,0.0006667343799145658,-0.002832604639014929,0.0006266373097346098,-0.0028417440870665196
1.0096666666666667,39.39388261575994,0.6942711687275481,0.001177403809490344,-0.003762555282267674,0.0011109206550555637,-0.0037827182396913558
1.2096000000000002,39.39122012389853,0.8317314173285891,0.001805628461019626,-0.004885668602638924,0.001702089951739329,-0.004922696581168079
1.4095333333333337,39.388077982377084,0.969181538299912,0.002623423983014019,-0.006341009847993308,0.0024666507295670417,-0.006403623463737358
1.609466666666667,39.3844562294561,1.1066198579715065,0.003533864905202938,-0.00809929848464903,0.0033049873893661163,-0.008195358165925025
1.8094000000000001,39.38035490923606,1.2440447028170614,0.004901587332140748,-0.01023585107368591,0.0045759490469866725,-0.010385513752177184
2.0093333333333336,39.37577407165696,1.3814543994743425,0.006774064774927167,-0.01208190658316015,0.0063462802314963795,-0.012311992019264629
2.209266666666667,39.370713772497666,1.5188472747655688,0.00961896990720289,-0.01585236596383684,0.00900072051167496,-0.016211388558596735
2.4092000000000007,39.3651740733752,1.6562216557177853,0.01266082261387592,-0.02003257450509537,0.011807540669853601,-0.020547078962518787
2.609133333333334,39.35915504174408,1.793575869583235,0.01686217352155111,-0.02498092560872402,0.015707505497559917,-0.025722632275558967
2.8090666666666677,39.35265675089541,1.9309082438597258,0.02114998702697275,-0.03020706404677941,0.019644190628619912,-0.031207281908455124
3.009000000000001,39.345679279956045,2.068217106310998,0.02769406494251522,-0.03592169434839779,0.025770252143336215,-0.037325908727971244
3.2089333333333343,39.33822271388759,2.2055007849870836,0.03482824628267838,-0.04198713852097313,0.032423315787684315,-0.043870891643986304
3.4088666666666674,39.330287143485386,2.3427576082446677,0.03964873041295013,-0.04848508639373843,0.03669561286752893,-0.050756846062807344
3.6088000000000005,39.321872665377406,2.479985904767442,0.04445965191839507,-0.05504712436831576,0.0409066162170236,-0.05773642957092875
3.8087333333333344,39.31297938202307,2.617184003586455,0.04720157461339694,-0.06126678934895882,0.04302761595279953,-0.06426688407362041
4.0086666666666675,39.303607401712,2.7543502341004595,0.05006344675233046,-0.06766685189225047,0.04521055449187434,-0.07100110779606504
4.2086000000000015,39.29375683856271,2.891482926096256,0.05377467341035771,-0.07315248572659473,0.04826116186750687,-0.0769016379771496
4.4085333333333345,39.28342781252119,3.028580409769026,0.06289066158508531,-0.0737137402162985,0.05703839530227191,-0.07832989386324632
