Br_relative_l2,Bt_relative_l2,Br_rms,Bt_rms,slotted_FEMM_Br_rms,slotted_FEMM_Bt_rms,lambda_drop,lambda_b_gain,width_scale,notch_kind,normalize_mean,slot_opening_deg,slot_centers_deg,model_csv
0.14066877994938834,0.3779121363267761,0.4682977492652414,0.04135479744696349,0.5106783515674461,0.04904435641138518,0.12,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1395118811642801,0.37998484436160357,0.4634854638428468,0.041229228038089254,0.5106783515674461,0.04904435641138518,0.16,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1437069905250615,0.3760052703775031,0.47320986701235007,0.04148385087468936,0.5106783515674461,0.04904435641138518,0.08,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14028284687163434,0.3822206965039859,0.4587761522987325,0.041107174575804,0.5106783515674461,0.04904435641138518,0.2,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1485110952284652,0.37426678138767033,0.47821874075205817,0.041616355909173834,0.5106783515674461,0.04904435641138518,0.04,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14295048818976477,0.3846168475996698,0.4541730178468595,0.04098866846880932,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14741187139386433,0.38717032144659397,0.44967932113885417,0.040873740571885205,0.5106783515674461,0.04904435641138518,0.28,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.15351068493384348,0.3898780269400236,0.4452983753365386,0.04076242115087204,0.5106783515674461,0.04904435641138518,0.32,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.16106102494626615,0.3927367740640903,0.4410335404393909,0.04065473984759736,0.5106783515674461,0.04904435641138518,0.36,0.14000000000000004,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1363777226469485,0.423332151211788,0.46751965837746795,0.03835252869535212,0.5106783515674461,0.04904435641138518,0.16,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13540812506480324,0.4248946051567349,0.4637883424712454,0.038248119568478976,0.5106783515674461,0.04904435641138518,0.2,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1389039768150641,0.4218900656225069,0.47134093160698626,0.03845998272670506,0.5106783515674461,0.04904435641138518,0.12,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13602847522718192,0.4265761048113874,0.4601491722655432,0.03814678034813714,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1429043559713314,0.42056958657918553,0.4752499922446054,0.03857045621400655,0.5106783515674461,0.04904435641138518,0.08,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14058962488142887,0.422977309869477,0.4682982699125841,0.0336394172791133,0.5106783515674461,0.04904435641138518,0.12,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1394316556306142,0.4248449270216633,0.46348595743915044,0.03348537672144557,0.5106783515674461,0.04904435641138518,0.16,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14362991145153245,0.4212596313947402,0.4732104140449955,0.033797498721517244,0.5106783515674461,0.04904435641138518,0.08,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.138217366678605,0.42837524830909013,0.4566043509896749,0.03804853556368341,0.5106783515674461,0.04904435641138518,0.28,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14020265106749916,0.4268605148027877,0.4587766181717803,0.03333543306644485,0.5106783515674461,0.04904435641138518,0.2,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14825958240866385,0.41937186279347755,0.47924469212548576,0.03868392328839259,0.5106783515674461,0.04904435641138518,0.04,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14843689942098848,0.41969373256135345,0.47821931351194474,0.03395956461786705,0.5106783515674461,0.04904435641138518,0.04,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14287138603542385,0.42902198767591754,0.4541734553192954,0.03318964184092977,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.10000000000000003,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1419022320838299,0.4302905599647221,0.453156092787395,0.03795340924555053,0.5106783515674461,0.04904435641138518,0.32,0.14000000000000004,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14075391419665892,0.4320388565864028,0.4682977007752286,0.049810571251842156,0.5106783515674461,0.04904435641138518,0.12,0.18000000000000005,1.0,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
