current_angle_deg,current_rms_a,Ia_A,Ib_A,Ic_A,torque_one_sector_Nm,torque_total_Nm
135.0,17.6,17.600000000000005,6.4420471066061245,-24.042047106606123,-2.616791766285462,-15.700750597712771
137.5,17.6,16.81554748221079,7.484615071000109,-24.300162553210885,-2.63878486665685,-15.8327091999411
140.0,17.6,15.999085614055945,8.512935645208731,-24.51202125926467,-2.65362073266697,-15.921724396001819
142.5,17.6,15.152168577106163,9.525051362573068,-24.677219939679222,-2.661415517771852,-15.968493106631112
145.0,17.6,14.276408526076887,10.519035603300228,-24.79544412937711,-2.662346535733726,-15.974079214402357
147.5,17.6,13.373472520000217,11.492996261893596,-24.866468781893808,-2.656851638559409,-15.941109831356453
150.0,17.6,12.445079348883237,12.445079348883244,-24.890158697766477,-2.645187003624572,-15.871122021747432
152.5,17.6,11.492996261893587,13.373472520000224,-24.866468781893808,-2.627622465557274,-15.765734793343645
155.0,17.6,10.519035603300221,14.276408526076894,-24.79544412937711,-2.604610178530232,-15.627661071181393
157.5,17.6,9.525051362573072,15.152168577106162,-24.67721993967923,-2.576521373924606,-15.459128243547635
160.0,17.6,8.512935645208735,15.999085614055941,-24.512021259264674,-2.543640128702461,-15.261840772214766
162.5,17.6,7.484615071000111,16.815547482210786,-24.300162553210896,-2.506230811591209,-15.037384869547253
165.0,17.6,6.442047106606128,17.600000000000005,-24.042047106606127,-2.464533979424534,-14.787203876547203
