objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.3213940202899894,0.07324839916333845,0.248145621126651,0.3,0.14,1.0,11.5,0.08000000000000003
0.3215012482975418,0.07291908217438932,0.24858216612315248,0.32,0.14,1.0,11.5,0.08000000000000003
0.32153277473371433,0.07977468151722264,0.2417580932164917,0.3,0.14,1.0,12.0,0.08000000000000003
0.32198050704428594,0.08093543966552365,0.2410450673787623,0.28,0.14,1.0,12.0,0.08000000000000003
0.3219806465112074,0.07933612625803091,0.2426445202531765,0.32,0.14,1.0,12.0,0.08000000000000003
0.32224150434602883,0.07437014422088067,0.24787136012514815,0.28,0.14,1.0,11.5,0.08000000000000003
0.3226069253723426,0.0734211517269529,0.24918577364538966,0.33999999999999997,0.14,1.0,11.5,0.08000000000000003
0.32326503711392884,0.08276391016192494,0.2405011269520039,0.26,0.14,1.0,12.0,0.08000000000000003
0.323366096151421,0.07965765722875849,0.24370843892266247,0.33999999999999997,0.14,1.0,12.0,0.08000000000000003
0.32397748813213667,0.07622303829002283,0.24775444984211384,0.26,0.14,1.0,11.5,0.08000000000000003
0.32472766380785145,0.0747666190025168,0.24996104480533463,0.36,0.14,1.0,11.5,0.08000000000000003
0.3253162381037033,0.08519448755234688,0.24012175055135643,0.24,0.14,1.0,12.0,0.08000000000000003
0.32571039312359407,0.08075669618584645,0.2449536969377476,0.36,0.14,1.0,12.0,0.08000000000000003
0.32652070681127016,0.07873088079940672,0.24778982601186345,0.24,0.14,1.0,11.5,0.08000000000000003
0.32785256071988667,0.07694017858815408,0.2509123821317326,0.38,0.14,1.0,11.5,0.08000000000000003
0.328058492119915,0.08815625917408969,0.23990223294582533,0.22,0.14,1.0,12.0,0.08000000000000003
0.3286072999827173,0.07977468151722264,0.2488326184654947,0.3,0.14,1.0,12.0,0.06000000000000001
0.32886479848926187,0.07933612625803091,0.24952867223123096,0.32,0.14,1.0,12.0,0.06000000000000001
0.32901292165545853,0.08262903699104365,0.24638388466441488,0.38,0.14,1.0,12.0,0.08000000000000003
0.3292104753275667,0.08093543966552365,0.24827503566204304,0.28,0.14,1.0,12.0,0.06000000000000001
0.32978291221147976,0.08181059441847778,0.24797231779300197,0.22,0.14,1.0,11.5,0.08000000000000003
0.33002446927463924,0.07965765722875849,0.25036681204588074,0.33999999999999997,0.14,1.0,12.0,0.06000000000000001
0.33061611250172046,0.08276391016192494,0.24785220233979552,0.26,0.14,1.0,12.0,0.06000000000000001
0.33118552952212127,0.06837545256438592,0.26281007695773534,0.32,0.14,1.0,11.0,0.08000000000000003
0.3313144621357232,0.06859052255655856,0.2627239395791646,0.3,0.14,1.0,11.0,0.08000000000000003
0.33141575868011247,0.09157805030619334,0.23983770837391913,0.19999999999999998,0.14,1.0,12.0,0.08000000000000003
0.33194709141117723,0.0799031210880159,0.25204397032316134,0.4,0.14,1.0,11.5,0.08000000000000003
0.33209842380750515,0.06905074734839095,0.2630476764591142,0.33999999999999997,0.14,1.0,11.0,0.08000000000000003
0.33210723034752326,0.08075669618584645,0.2513505341616768,0.36,0.14,1.0,12.0,0.06000000000000001
0.3321437259546366,0.07324839916333845,0.2588953267912982,0.3,0.14,1.0,11.5,0.06000000000000001
0.3322396217730317,0.07291908217438932,0.2593205395986424,0.32,0.14,1.0,11.5,0.06000000000000001
0.3324420385201422,0.06965777420325472,0.2627842643168875,0.28,0.14,1.0,11.0,0.08000000000000003
0.33275479142264774,0.08519448755234688,0.24756030387030084,0.24,0.14,1.0,12.0,0.06000000000000001
0.33286731802711744,0.07324839916333845,0.259618918863779,0.3,0.14,1.0,11.5,0.10000000000000005
0.33296262953502703,0.07291908217438932,0.26004354736063773,0.32,0.14,1.0,11.5,0.10000000000000005
0.3329690837375702,0.07437014422088067,0.25859893951668955,0.28,0.14,1.0,11.5,0.06000000000000001
0.3332525804065321,0.08907747181261387,0.24417510859391822,0.28,0.14,1.0,12.5,0.08000000000000003
0.3332529759128959,0.08525065238393668,0.2480023235289592,0.4,0.14,1.0,12.0,0.08000000000000003
0.3332761850898143,0.0878913063971259,0.2453848786926884,0.3,0.14,1.0,12.5,0.08000000000000003
0.33329955676234163,0.0734211517269529,0.2598784050353887,0.33999999999999997,0.14,1.0,11.5,0.06000000000000001
0.33334403622439945,0.0878913063971259,0.24545272982727356,0.3,0.14,1.0,12.5,0.06000000000000001
0.33365869691647215,0.08907747181261387,0.24458122510385827,0.28,0.14,1.0,12.5,0.06000000000000001
0.333675814388997,0.08537914196623293,0.2482966724227641,0.19999999999999998,0.14,1.0,11.5,0.08000000000000003
0.33374931089321613,0.07437014422088067,0.25937916667233546,0.28,0.14,1.0,11.5,0.10000000000000005
0.33382433759698366,0.08735556895660422,0.24646876864037945,0.32,0.14,1.0,12.5,0.06000000000000001
0.33400506535382296,0.0908667474480303,0.24313831790579266,0.26,0.14,1.0,12.5,0.08000000000000003
0.33406309394098554,0.0706214481251483,0.26344164581583723,0.36,0.14,1.0,11.0,0.08000000000000003
0.33407972641781236,0.0734211517269529,0.26065857469085946,0.33999999999999997,0.14,1.0,11.5,0.10000000000000005
0.33412659474039197,0.08735556895660422,0.24677102578378773,0.32,0.14,1.0,12.5,0.08000000000000003
0.33440964208264146,0.07465789761336829,0.2597517444692732,0.3,0.14,1.0999999999999999,11.5,0.08000000000000003
0.33449688588836607,0.07151090569835483,0.26298598019001124,0.26,0.14,1.0,11.0,0.08000000000000003
0.33465052645221516,0.07622303829002283,0.25842748816219235,0.26,0.14,1.0,11.5,0.06000000000000001
0.3347176679931422,0.0908667474480303,0.2438509205451119,0.26,0.14,1.0,12.5,0.06000000000000001
