objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.40786568522168204,0.04961253701264202,0.35825314820904003,0.28,0.12,1.0999999999999999,12.5,0.06000000000000001
0.4078716991072781,0.04976580289910077,0.35810589620817734,0.33999999999999997,0.14,1.0,12.5,0.06000000000000001
0.40793004432788416,0.047099856059507145,0.36083018826837704,0.26,0.14,1.0,12.0,0.06000000000000001
0.4080165841587328,0.04998512021440299,0.35803146394432983,0.24,0.12,1.0,12.0,0.06000000000000001
0.40835322738529556,0.05684722105408838,0.35150600633120715,0.22,0.12,1.0,12.5,0.06000000000000001
0.40849306483721154,0.046182159771962605,0.36231090506524893,0.32,0.14,1.0,12.0,0.06000000000000001
0.4085080567962517,0.0495478744040528,0.3589601823921989,0.3,0.12,1.0999999999999999,12.5,0.06000000000000001
0.40873258637107734,0.05104584041879443,0.3576867459522829,0.26,0.12,1.0999999999999999,12.5,0.06000000000000001
0.40908483761899805,0.048691967881241055,0.360392869737757,0.33999999999999997,0.12,1.0,12.0,0.06000000000000001
0.40948652484415315,0.05286049600657333,0.3566260288375798,0.3,0.14,1.0,13.0,0.06000000000000001
0.40950473122201914,0.05388208750863546,0.35562264371338365,0.28,0.14,1.0,13.0,0.06000000000000001
0.4096407191939879,0.053093565650674863,0.35654715354331307,0.36,0.12,1.0,12.5,0.06000000000000001
0.4101572907007165,0.059143100991741394,0.3510141897089751,0.24,0.12,1.0,13.0,0.06000000000000001
0.41047708360867796,0.05454274848542883,0.3559343351232491,0.33999999999999997,0.12,1.0,13.0,0.06000000000000001
0.41055383993620437,0.04697349204347662,0.36358034789272775,0.3,0.12,1.0,12.5,0.04000000000000002
0.41057021899940704,0.04769175566125719,0.3628784633381498,0.28,0.12,1.0,12.5,0.04000000000000002
0.41061919129656554,0.05003058756668782,0.3605886037298777,0.24,0.14,1.0,12.0,0.06000000000000001
0.4107222373539796,0.05090989074755936,0.35981234660642025,0.32,0.12,1.0999999999999999,12.5,0.06000000000000001
0.4107875290923587,0.05603197901502592,0.3547555500773328,0.26,0.14,1.0,13.0,0.06000000000000001
0.4107935380351604,0.04774482055727345,0.3630487174778869,0.28,0.12,1.0999999999999999,12.0,0.06000000000000001
0.41084391495548717,0.05307471984134659,0.35776919511414057,0.32,0.14,1.0,13.0,0.06000000000000001
0.4109269366224375,0.05686920135585346,0.3540577352665841,0.22,0.14,1.0,12.5,0.06000000000000001
0.4109467009052355,0.053690222860098176,0.3572564780451373,0.24,0.12,1.0999999999999999,12.5,0.06000000000000001
0.41156226973583665,0.04881999848312566,0.36274227125271097,0.26,0.12,1.0999999999999999,12.0,0.06000000000000001
0.4116026917023268,0.048113410665478355,0.3634892810368484,0.3,0.12,1.0999999999999999,12.0,0.06000000000000001
0.411808923959366,0.048739631159149276,0.36306929280021677,0.33999999999999997,0.14,1.0,12.0,0.06000000000000001
0.4118245205092412,0.05388930498535407,0.35793521552388713,0.22,0.12,1.0,12.0,0.06000000000000001
0.4119879749901632,0.04970817833251169,0.36227979665765153,0.26,0.12,1.0,12.5,0.04000000000000002
0.4120479473679913,0.04765958839803761,0.36438835896995364,0.32,0.12,1.0,12.5,0.04000000000000002
0.4123821082933829,0.05311901843177832,0.3592630898616046,0.36,0.14,1.0,12.5,0.06000000000000001
0.4124180495723152,0.05285089300675619,0.359567156565559,0.3,0.12,1.0,13.0,0.04000000000000002
0.4126054370055826,0.0538730195056554,0.35873241749992724,0.28,0.12,1.0,13.0,0.04000000000000002
0.4128489749907077,0.06154362903472709,0.3513053459559806,0.19999999999999998,0.12,1.0,12.5,0.06000000000000001
0.4131719493834384,0.059150729201152226,0.35402122018228616,0.24,0.14,1.0,13.0,0.06000000000000001
0.41348942158610114,0.06305477799661037,0.3504346435894908,0.22,0.12,1.0,13.0,0.06000000000000001
0.4135756977323437,0.053064793189855325,0.3605109045424884,0.32,0.12,1.0,13.0,0.04000000000000002
0.41360835005992713,0.05455276284662578,0.35905558721330133,0.33999999999999997,0.14,1.0,13.0,0.06000000000000001
0.41364368941141627,0.04607110371279288,0.3675725856986234,0.3,0.14,0.8999999999999999,12.5,0.06000000000000001
0.41376260699160206,0.05119727373320188,0.3625653332584002,0.24,0.12,1.0999999999999999,12.0,0.06000000000000001
0.4137782304414639,0.05250981778893564,0.36126841265252824,0.36,0.12,1.0,12.0,0.06000000000000001
0.4140166131476459,0.04994801898138673,0.36406859416625914,0.32,0.12,1.0999999999999999,12.0,0.06000000000000001
0.41402742243924534,0.05602359447919268,0.35800382796005265,0.26,0.12,1.0,13.0,0.04000000000000002
0.41429020981447573,0.047414478181759895,0.36687573163271586,0.28,0.14,0.8999999999999999,12.5,0.06000000000000001
0.4142929206482137,0.057335063955912854,0.35695785669230085,0.22,0.12,1.0999999999999999,12.5,0.06000000000000001
0.41439789691855267,0.053931308171885815,0.36046658874666687,0.22,0.14,1.0,12.0,0.06000000000000001
0.41442130911138875,0.04602985041238813,0.36839145869900064,0.32,0.14,0.8999999999999999,12.5,0.06000000000000001
0.41445613081468574,0.053642000654897985,0.36081413015978775,0.33999999999999997,0.12,1.0999999999999999,12.5,0.06000000000000001
0.414576385466989,0.057228851113639866,0.35734753435334915,0.36,0.12,1.0,13.0,0.06000000000000001
0.4146146097418315,0.052833161977760966,0.36178144776407056,0.24,0.12,1.0,12.5,0.04000000000000002
0.41504434712639243,0.049738937237462776,0.3653054098889297,0.33999999999999997,0.12,1.0,12.5,0.04000000000000002
