Br_relative_l2,Bt_relative_l2,Br_rms,Bt_rms,slotted_FEMM_Br_rms,slotted_FEMM_Bt_rms,lambda_drop,lambda_b_gain,width_scale,notch_kind,normalize_mean,slot_opening_deg,slot_centers_deg,model_csv
0.10029037769118403,0.37134906829294156,0.4865868483583025,0.04189141311865177,0.5106783515674461,0.04904435641138518,0.32,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1007688497837743,0.3718508204267702,0.4875776462948618,0.04192528533918061,0.5106783515674461,0.04904435641138518,0.36,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1021693979457485,0.37101993352697754,0.48574417533145503,0.041861738806520214,0.5106783515674461,0.04904435641138518,0.28,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.10612965017507939,0.3708525490095221,0.48504100524586385,0.04183601174976389,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.11181645495181139,0.37083655489642575,0.4844691518807007,0.041813996286032905,0.5106783515674461,0.04904435641138518,0.2,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.11886477430418592,0.3709620889407209,0.4840208465533758,0.04179547079518336,0.5106783515674461,0.04904435641138518,0.16,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.12694522108187845,0.37121977543959583,0.4836887203375489,0.04178022681419422,0.5106783515674461,0.04904435641138518,0.12,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13578378308435532,0.3716007129534128,0.48346578671732116,0.04176806821103633,0.5106783515674461,0.04904435641138518,0.08,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1451634087950027,0.3720964609575115,0.48334542468840563,0.04175881041338586,0.5106783515674461,0.04904435641138518,0.04,0.14000000000000004,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.100179396891908,0.4171219906650843,0.48658735338433823,0.0342969061869418,0.5106783515674461,0.04904435641138518,0.32,0.10000000000000003,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.10065816906217083,0.41757469041825945,0.48757813804819683,0.03433844454674768,0.5106783515674461,0.04904435641138518,0.36,0.10000000000000003,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.10074424325233497,0.41754528245033806,0.4869976650436014,0.03895876137067376,0.5106783515674461,0.04904435641138518,0.36,0.14000000000000004,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
