edge_width_deg,window_power,edge_bt_gain,edge_params,bt_mode,model_Br_rms,model_Bt_rms,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,objective
12.0,1.4,0.05,closed-form,drive,0.5187486845775408,0.045689514698011933,0.09583678715380667,0.4916649335190938,0.04323153179177823,0.39734187797902526,0.09837076479511773,0.49079184023255235,0.09711460469763025,0.491227085771032,0.055089793863626405,0.4427070925356522,0.24402738789527528
12.0,1.0,0.0,closed-form,drive,0.5220211928392419,0.038477168421514926,0.054782792772027834,0.6231807664812077,0.04323153001923717,0.3973468923742244,0.05860265720510746,0.6218955087648171,0.056728750146027664,0.6225362684376134,0.045573861813589335,0.51263978750517,0.24485284999150853
12.0,0.8,0.1,closed-form,drive,0.5240542975724551,0.05474920379712744,0.06877388287165509,0.6096974440678584,0.0432315291329677,0.39733689548664636,0.07126607016837166,0.6080521579800702,0.07003358445159404,0.6088725393743682,0.04834255002949712,0.5050832137219242,0.24963342939022848
11.0,1.4,0.1,closed-form,drive,0.5234399296943347,0.052238916376707106,0.06535490379467457,0.6177210020786713,0.043231525587896884,0.3973468923742244,0.06940854906596075,0.6186192023865604,0.06741630175724844,0.6181718034378474,0.04776544683875632,0.5102214151031431,0.24993864773989335
12.0,1.2,0.1,closed-form,drive,0.5202739284084175,0.05474920379712744,0.0698589106834622,0.6096974440678584,0.04323153090550735,0.39733689548664636,0.07319157186974483,0.6080521579800702,0.07154801964387862,0.6088725393743682,0.04868326239014478,0.5050832137219242,0.25050419406817576
11.0,1.2,0.1,closed-form,drive,0.5246013876220967,0.052238916376707106,0.06684649606901016,0.6177210020786713,0.043231525587896884,0.3973468923742244,0.07047418911225094,0.6186192023865604,0.06868796598131764,0.6181718034378474,0.04804396401270677,0.5102214151031431,0.25066224739226806
11.0,1.4,0.0,closed-form,drive,0.5234399296943347,0.038477168421514926,0.06535490379467457,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.06940854906596075,0.6218955087648171,0.06741630175724844,0.6225362684376134,0.04776544683875632,0.51263978750517,0.25078507808060274
14.0,0.8,0.05,closed-form,drive,0.515596148786347,0.04796666813013194,0.11372640594536924,0.467500571553971,0.04581014072207516,0.3891925833209017,0.1159827106534321,0.465341710213746,0.1148623813473073,0.46641869311216694,0.06171804664598415,0.4262101409406546,0.2510934294467708
11.0,1.2,0.0,closed-form,drive,0.5246013876220967,0.038477168421514926,0.06684649606901016,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.07047418911225094,0.6218955087648171,0.06868796598131764,0.6225362684376134,0.04804396401270677,0.51263978750517,0.25150867773297747
12.0,0.8,0.0,closed-form,drive,0.5240542975724551,0.038477168421514926,0.06877388287165509,0.6231807664812077,0.0432315291329677,0.3973468923742244,0.07126607016837166,0.6218955087648171,0.07003358445159404,0.6225362684376134,0.04834255002949712,0.51263978750517,0.2522782302143645
12.0,1.2,0.0,closed-form,drive,0.5202739284084175,0.038477168421514926,0.0698589106834622,0.6231807664812077,0.04323153090550735,0.3973468923742244,0.07319157186974483,0.6218955087648171,0.07154801964387862,0.6225362684376134,0.04868326239014478,0.51263978750517,0.2531489948923118
13.0,0.8,0.0,closed-form,drive,0.5200900691487456,0.038477168421514926,0.07134430915709829,0.6231807664812077,0.04365754016228057,0.3973468923742244,0.07425589477559909,0.6218955087648171,0.07281760135652793,0.6225362684376134,0.049291242835941676,0.51263978750517,0.254201328937536
11.0,1.6,0.1,closed-form,drive,0.5224101518895472,0.052238916376707106,0.07432396567100191,0.6177210020786713,0.043231525587896884,0.3973468923742244,0.07809615264391805,0.6186192023865604,0.07623720975231175,0.6181718034378474,0.04976848742245847,0.5102214151031431,0.2550290061218677
11.0,1.6,0.0,closed-form,drive,0.5224101518895472,0.038477168421514926,0.07432396567100191,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.07809615264391805,0.6218955087648171,0.07623720975231175,0.6225362684376134,0.04976848742245847,0.51263978750517,0.2558754364625771
13.0,0.8,0.1,closed-form,drive,0.5200900691487456,0.057278519497110776,0.07134430915709829,0.6374113484558587,0.04365754016228057,0.39799627407964994,0.07425589477559909,0.6344663240686598,0.07281760135652793,0.6359354980099252,0.049291242835941676,0.5203682778093529,0.256906300544
11.0,0.8,0.05,closed-form,drive,0.5274682962592977,0.04460139190269442,0.10926985721553073,0.5287426729008363,0.043231525587896884,0.3973468923742244,0.1106896258904743,0.5291912693952978,0.10998346891188229,0.5289677868756969,0.05870077711612707,0.46214757213615587,0.2589466414829404
11.0,1.0,0.1,closed-form,drive,0.5259279565783433,0.052238916376707106,0.08193174962748967,0.6177210020786713,0.043231525587896884,0.3973468923742244,0.08447747791524848,0.6186192023865604,0.08321692451685518,0.6181718034378474,0.05146349509942079,0.5102214151031431,0.2591669139664202
11.0,1.0,0.0,closed-form,drive,0.5259279565783433,0.038477168421514926,0.08193174962748967,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.08447747791524848,0.6218955087648171,0.08321692451685518,0.6225362684376134,0.05146349509942079,0.51263978750517,0.26001334430712963
12.0,1.6,0.05,closed-form,drive,0.5174009996736073,0.045689514698011933,0.12310366983716231,0.4916649335190938,0.04323153267804982,0.39734187797902526,0.12506753263444248,0.49079184023255235,0.12409147311889991,0.491227085771032,0.06288816153327771,0.4427070925356522,0.26126765951237096
10.0,1.6,0.05,closed-form,drive,0.5266475740708034,0.04354853721341865,0.10210173310776446,0.5727867774803354,0.043231525587896884,0.3973468923742244,0.10509421117656768,0.574466594604842,0.10361180361418897,0.5736301774396346,0.05688545186666804,0.48587654965911314,0.2632063755123238
13.0,1.2,0.05,closed-form,drive,0.5152752261631554,0.04678163715921147,0.13242496395140532,0.47292016786864816,0.04388814462195954,0.39577691596429276,0.13435558675520554,0.4713449000930723,0.13339572131349828,0.47213049348273556,0.06612615068851589,0.4323325482312563,0.26413104502917994
12.0,1.4,0.1,closed-form,drive,0.5187486845775408,0.05474920379712744,0.09583678715380667,0.6096974440678584,0.04323153179177823,0.39733689548664636,0.09837076479511773,0.6080521579800702,0.09711460469763025,0.6088725393743682,0.055089793863626405,0.5050832137219242,0.2658590303104705
10.0,1.4,0.05,closed-form,drive,0.5273979278290949,0.04354853721341865,0.10873935948234115,0.5727867774803354,0.043231525587896884,0.3973468923742244,0.1112869601771388,0.574466594604842,0.11002311121643078,0.5736301774396346,0.058712229458092666,0.48587654965911314,0.26727711076453303
12.0,1.4,0.0,closed-form,drive,0.5187486845775408,0.038477168421514926,0.09583678715380667,0.6231807664812077,0.04323153179177823,0.3973468923742244,0.09837076479511773,0.6218955087648171,0.09711460469763025,0.6225362684376134,0.055089793863626405,0.51263978750517,0.2685038311346065
13.0,1.0,0.0,closed-form,drive,0.5174968824502333,0.038477168421514926,0.09607011825137267,0.6231807664812077,0.04377141527122384,0.3973468923742244,0.0985924293085606,0.6218955087648171,0.0973419956345796,0.6225362684376134,0.05551065010364588,0.51263978750517,0.26900427420255824
13.0,1.0,0.1,closed-form,drive,0.5174968824502333,0.057278519497110776,0.09607011825137267,0.6374113484558587,0.04377141527122384,0.39799627407964994,0.0985924293085606,0.6344663240686598,0.0973419956345796,0.6359354980099252,0.05551065010364588,0.5203682778093529,0.2717092458090222
10.0,1.6,0.0,closed-form,drive,0.5266475740708034,0.038477168421514926,0.10210173310776446,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.10509421117656768,0.6218955087648171,0.10361180361418897,0.6225362684376134,0.05688545186666804,0.51263978750517,0.27257350875844366
10.0,1.2,0.05,closed-form,drive,0.5282423382542187,0.04354853721341865,0.11998345018465388,0.5727867774803354,0.043231525587896884,0.3973468923742244,0.12198169587109524,0.574466594604842,0.12098872008061973,0.5736301774396346,0.06194902371576916,0.48587654965911314,0.27435186812467566
11.0,0.8,0.1,closed-form,drive,0.5274682962592977,0.052238916376707106,0.10926985721553073,0.6177210020786713,0.043231525587896884,0.3973468923742244,0.1106896258904743,0.6186192023865604,0.10998346891188229,0.6181718034378474,0.05870077711612707,0.5102214151031431,0.275772486521386
11.0,0.8,0.0,closed-form,drive,0.5274682962592977,0.038477168421514926,0.10926985721553073,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.1106896258904743,0.6218955087648171,0.10998346891188229,0.6225362684376134,0.05870077711612707,0.51263978750517,0.2766189168620954
10.0,1.4,0.0,closed-form,drive,0.5273979278290949,0.038477168421514926,0.10873935948234115,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.1112869601771388,0.6218955087648171,0.11002311121643078,0.6225362684376134,0.058712229458092666,0.51263978750517,0.2766442440106529
10.0,1.6,0.1,closed-form,drive,0.5266475740708034,0.049814351793897226,0.10210173310776446,0.6497377931185789,0.043231525587896884,0.3973468923742244,0.10509421117656768,0.6531157728046203,0.10361180361418897,0.6514347569103904,0.05688545186666804,0.5287887441303942,0.27822564357727214
14.0,1.0,0.05,closed-form,drive,0.51238127890382,0.04796666813013194,0.1582750189157158,0.467500571553971,0.04657223003821682,0.3891925833209017,0.160076002763877,0.465341710213746,0.15917987998239044,0.46641869311216694,0.07577011237573855,0.4262101409406546,0.2806566196988043
14.0,0.8,0.0,closed-form,drive,0.515596148786347,0.038477168421514926,0.11372640594536924,0.6231807664812077,0.04581014072207516,0.3973468923742244,0.1159827106534321,0.6218955087648171,0.1148623813473073,0.6225362684376134,0.06171804664598415,0.51263978750517,0.2813438057443512
10.0,1.4,0.1,closed-form,drive,0.5273979278290949,0.049814351793897226,0.10873935948234115,0.6497377931185789,0.043231525587896884,0.3973468923742244,0.1112869601771388,0.6531157728046203,0.11002311121643078,0.6514347569103904,0.058712229458092666,0.5287887441303942,0.2822963788294814
