name,value
condition,2.951227228849978e+21
alpha_prime_deg,18.447402133653434
gamma_prime_deg,20.662445156066408
Rf_mm,27.35167905356964
Rb_mm,37.3
Rr_mm,38.800000000000004
Rs_mm,40.0
model_Br_min,8.764682446832467e-05
model_Br_max,0.06840791624005799
model_Br_mean,0.05679956396840359
model_Br_rms,0.059556357978606686
model_Bt_min,-0.0075523060951396374
model_Bt_max,0.0075523060951396374
model_Bt_mean,1.290957005378089e-18
model_Bt_rms,0.00337731739055868
femm_Br_min,4.9341242015218684e-05
femm_Br_max,0.6272661049020922
femm_Br_mean,0.46727059144078725
femm_Br_rms,0.5228216083135656
femm_Bt_min,-0.08124424582377504
femm_Bt_max,0.08114499821865068
femm_Bt_mean,6.505491991434844e-05
femm_Bt_rms,0.031694979912558735
Br_relative_l2,0.888799588134792
Bt_relative_l2,0.9327819374259201
Br_best_scalar_to_FEMM,8.593065841334514
Bt_best_scalar_to_FEMM,6.221054203083951
Br_relative_l2_after_best_scalar,0.2045081106187761
Bt_relative_l2_after_best_scalar,0.7487115125389108
