angle_deg,Br_T,Bt_T
0.01,-0.07661978582227356,-1.1307893052008301e-06
0.20993333333333336,-0.07661682844996087,-2.3717688686340652e-05
0.40986666666666677,-0.07660850840291243,-4.618823805505767e-05
0.6098000000000001,-0.07659486620837692,-6.843206172849203e-05
0.8097333333333334,-0.07657596837342134,-9.03396192771734e-05
1.0096666666666667,-0.07655190714167771,-0.00011180261040932935
1.2096000000000002,-0.07652280015552448,-0.00013271437685526951
1.409533333333334,-0.07648879002451349,-0.0001529703002742741
1.609466666666667,-0.07645004380108256,-0.00017246819521152373
1.8094000000000001,-0.07640675236481785,-0.000191108696139005
2.0093333333333336,-0.07635912971675525,-0.0002087956376220595
2.209266666666667,-0.0763074121854316,-0.000225436426662326
2.4092000000000007,-0.07625185754661698,-0.00024094240627828327
2.609133333333334,-0.07619274405887709,-0.0002552292093964925
2.8090666666666677,-0.07613036941732808,-0.00026821710213998615
3.009000000000001,-0.0760650496281595,-0.0002798313156150912
3.2089333333333343,-0.07599711780670725,-0.0002900023653143731
3.4088666666666674,-0.07592692290206353,-0.00029866635727136495
3.6088000000000005,-0.07585482835140998,-0.0003057652801223715
3.8087333333333344,-0.07578121066745523,-0.0003112472822519274
4.0086666666666675,-0.07570645796254855,-0.00031506693322152634
4.2086000000000015,-0.07563096841322531,-0.0003171854687060241
4.4085333333333345,-0.07555514866911894,-0.0003175710181887398
4.608466666666667,-0.0754794122103465,-0.0003161988146947248
4.808400000000001,-0.07540417765764007,-0.000313051385872042
5.008333333333334,-0.07532986703965566,-0.00030811872576314643
5.208266666666668,-0.0752569040220409,-0.00030139844664267746
5.408200000000001,-0.07518571210298645,-0.0002928959103341781
5.608133333333335,-0.07511671278011972,-0.00028262433845640053
5.808066666666668,-0.07505032369372475,-0.00027060490109002966
6.008000000000001,-0.07498695675138738,-0.00025686678339781495
6.207933333333335,-0.07492701623927124,-0.0002414472297752284
6.407866666666668,-0.07487089692532427,-0.0002243915651549005
6.607800000000002,-0.07481898215980015,-0.00020575319313608986
6.807733333333334,-0.07477164197855256,-0.00018559357066048638
7.007666666666668,-0.07472923121461948,-0.0001639821590073787
7.207599999999999,-0.07469208762366593,-0.00014099635093494032
7.407533333333334,-0.07466053002888717,-0.00011672137384970581
7.607466666666668,-0.07463485649099941,-9.125016894337614e-05
7.807400000000001,-0.07461534250895309,-6.468324629470424e-05
8.007333333333333,-0.07460223925700056,-3.7128515994283435e-05
8.207266666666667,-0.0745957718637304,-8.701095411543607e-06
8.407200000000001,-0.07459613773864866,2.047690721409901e-05
8.607133333333334,-0.07460350495183801,5.027663261216785e-05
8.807066666666667,-0.07461801067216439,8.056273343964493e-05
9.007000000000003,-0.07463975966942141,0.00011119365998303885
9.206933333333332,-0.07466882288570915,0.00014202196816181126
9.406866666666668,-0.07470523608123565,0.00017289464932436743
9.606800000000002,-0.07474899855960297,0.0002036534812609056
9.806733333333336,-0.07480007197750047,0.00023413539979053128
10.006666666666666,-0.07485837924357024,0.00026417289021324553
10.206600000000002,-0.07492380351103821,0.0002935943978509721
10.406533333333336,-0.07499618726851655,0.00032222475683597895
10.606466666666668,-0.07507533153317959,0.00034988563624002846
10.8064,-0.07516099515029723,0.00037639600257358233
11.006333333333334,-0.07525289420287622,0.00040157259762176436
11.20626666666667,-0.075350701534912,0.00042523043052259465
11.4062,-0.07545404639149078,0.00044718328293364947
11.606133333333334,-0.07556251417870619,0.00046724422607600635
11.806066666666668,-0.0756756463460648,0.00048522614838921726
12.006000000000002,-0.07579294039375219,0.0005009422924785748
12.205933333333334,-0.07591385000681793,0.0005142067999861583
12.405866666666668,-0.07603778531801082,0.000524835262970429
12.605800000000002,-0.07616411330065923,0.0005326452803356371
12.805733333333334,-0.07629215829264525,0.0005374570178123458
13.005666666666668,-0.07642120265216502,0.0005390937699540959
13.205600000000002,-0.07655048754560376,0.0005373825225829093
13.405533333333334,-0.07667921386748248,0.0005321545140881641
13.605466666666667,-0.07680654329205643,0.0005232457939595083
13.805400000000002,-0.07693159945576157,0.0005104977769152437
14.005333333333335,-0.07705346926931904,0.000493757790973
14.20526666666667,-0.07717120435791709,0.000472879617799819
14.405199999999999,-0.07728382262749878,0.000447724023674129
14.605133333333335,-0.07739030995478996,0.00041815927939253876
14.80506666666667,-0.07748962199831164,0.00038406166746015566
15.005000000000003,-0.0775806861272291,0.00034531597491425676
15.204933333333337,-0.07766240346450447,0.00030181597014767095
15.404866666666669,-0.07773365104043535,0.00025346486212038616
15.604800000000004,-0.0777932840522868,0.00020017574037541806
15.804733333333333,-0.07784013822535231,0.00014187199430822913
16.004666666666672,-0.07787303227041902,7.84877101776654e-05
16.204600000000003,-0.07789077043225949,9.968044390746577e-06
16.404533333333333,-0.07789214512343236,-6.373042835678055e-05
16.60446666666667,-0.07787593963734403,-0.00014263939344680076
16.804400000000005,-0.07784093093420934,-0.0002267785025144836
17.004333333333335,-0.07778589249324797,-0.00031615510866980117
17.20426666666667,-0.07770959722416898,-0.00041076403193073143
17.4042,-0.07761082043072831,-0.0005105873559582443
17.604133333333337,-0.0774883428188948,-0.0006155942571027849
17.80406666666667,-0.07734095354193106,-0.0007257408666869497
18.004,-0.0771674532744855,-0.0008409701673598849
18.20393333333334,-0.0769666573076046,-0.0009612119242654812
18.403866666666666,-0.07673739865640876,-0.0010863826516694112
18.6038,-0.0764785311720328,-0.0012163856155894804
18.803733333333337,-0.07618893264931438,-0.0013511108728696938
19.003666666666668,-0.07586750792161988,-0.0014904353470320218
19.2036,-0.07551319193412946,-0.0016342229411303259
19.403533333333336,-0.07512495278686158,-0.0017823246877195014
19.60346666666667,-0.07470179473870078,-0.001934578935939644
19.803400000000003,-0.07424276116370529,-0.002090811575600099
20.003333333333334,-0.07374693745100872,-0.002250836298032572
20.203266666666668,-0.0732134538396965,-0.0024144548933658625
20.403200000000005,-0.0726414881801317,-0.0025814575837579323
20.603133333333336,-0.07203026861332541,-0.0027516233920045043
20.80306666666667,-0.0713790761600957,-0.002924720544827247
21.003000000000004,-0.07068724721193587,-0.003100506910029348
21.202933333333334,-0.06995417591571432,-0.003278730466592865
21.402866666666668,-0.0691793164445591,-0.003459129806680112
21.602800000000002,-0.06836218514753592,-0.0036414346683918478
21.802733333333336,-0.06750236257100882,-0.0038253664980280894
22.00266666666667,-0.06659949534488079,-0.004010639040493371
22.202600000000004,-0.06565329792724019,-0.004196958956388024
22.402533333333338,-0.06466355420129426,-0.004384026464230434
22.60246666666667,-0.06363011891884643,-0.004571536006162924
22.802400000000002,-0.06255291898497121,-0.004759176935406471
23.002333333333336,-0.061431954578959384,-0.004946634223646517
23.20226666666667,-0.060267300107041163,-0.005133589186455118
23.402200000000004,-0.059059104982850545,-0.005319720224782837
23.602133333333335,-0.05780759423206394,-0.005504703580488106
23.802066666666672,-0.056513068918131674,-0.005688214103812434
24.002000000000002,-0.05517590638651986,-0.00586992603065676
24.20193333333334,-0.05379656032539009,-0.006049513767468199
24.40186666666667,-0.05237556064116622,-0.006226652681507127
24.6018,-0.05091351314796456,-0.00640101989423262
24.801733333333342,-0.049411099070402656,-0.0065722950755193865
25.001666666666672,-0.047869074359839975,-0.0067401612364022725
25.201600000000003,-0.04628826882464906,-0.006904305518034779
25.401533333333337,-0.04466958507566261,-0.00706441997454581
25.60146666666667,-0.043013997288484776,-0.007220202347484992
25.801400000000005,-0.041322549784900055,-0.0073713568295601176
26.00133333333334,-0.03959635543615088,-0.00751759481539174
26.20126666666667,-0.03783659389138892,-0.007658635637038785
26.401200000000006,-0.03604450963513028,-0.0077942072820857584
26.60113333333334,-0.034221409878060556,-0.007924047092126364
26.801066666666667,-0.03236866228604038,-0.00804790243952996
27.00100000000001,-0.030487692552654346,-0.008165531380436252
27.200933333333335,-0.02857998182112319,-0.008276703281989648
27.40086666666667,-0.02664706396185709,-0.008381199421897878
27.600800000000007,-0.02469052271237629,-0.008478813558478814
27.800733333333337,-0.02271198868674144,-0.008569352469445858
28.00066666666667,-0.02071313626204343,-0.008652636457774258
28.2006,-0.018695680349879517,-0.008728499823088832
28.400533333333335,-0.016661373061098862,-0.008796791297117176
28.600466666666673,-0.014612000272432382,-0.00885737444186095
28.8004,-0.012549378103924728,-0.008910128009251462
29.000333333333334,-0.010475349316364475,-0.008954946261173501
29.20026666666667,-0.008391779638159265,-0.008991739248863024
29.400200000000005,-0.00630055403131876,-0.00902043305080985
29.60013333333334,-0.004203572906402108,-0.009040969968424654
29.80006666666667,-0.0021027482964437686,-0.00905330867886073
30.000000000000004,3.0194438363748216e-17,-0.009057424344514139
30.199933333333334,0.002102748296443775,-0.00905330867886073
30.399866666666675,0.004203572906402242,-0.009040969968424652
30.599800000000002,0.006300554031318811,-0.009020433050809849
30.79973333333334,0.008391779638159303,-0.008991739248863024
30.999666666666673,0.010475349316364515,-0.008954946261173501
31.199600000000007,0.012549378103924766,-0.008910128009251462
31.399533333333338,0.01461200027243245,-0.008857374441860947
31.599466666666665,0.016661373061098824,-0.008796791297117178
31.799400000000006,0.01869568034987957,-0.00872849982308883
31.999333333333336,0.020713136262043484,-0.008652636457774254
32.199266666666674,0.022711988686741548,-0.008569352469445853
32.39920000000001,0.024690522712376345,-0.00847881355847881
32.59913333333334,0.02664706396185717,-0.008381199421897873
32.79906666666667,0.02857998182112321,-0.008276703281989647
32.999,0.030487692552654464,-0.008165531380436243
33.198933333333336,0.03236866228604041,-0.008047902439529958
33.39886666666667,0.03422140987806059,-0.007924047092126359
33.59880000000001,0.036044509635130395,-0.007794207282085749
33.79873333333334,0.03783659389138896,-0.00765863563703878
33.99866666666667,0.03959635543615095,-0.007517594815391733
34.1986,0.04132254978490011,-0.007371356829560112
34.39853333333335,0.04301399728848492,-0.007220202347484979
34.598466666666674,0.044669585075662654,-0.007064419974545804
34.7984,0.04628826882464908,-0.006904305518034775
34.99833333333334,0.047869074359840065,-0.006740161236402263
35.19826666666667,0.04941109907040274,-0.006572295075519377
35.3982,0.05091351314796459,-0.006401019894232617
35.598133333333344,0.052375560641166254,-0.006226652681507122
35.79806666666667,0.053796560325390125,-0.0060495137674681934
35.998000000000005,0.055175906386519896,-0.0058699260306567524
36.19793333333334,0.056513068918131744,-0.005688214103812426
36.39786666666667,0.057807594232064004,-0.005504703580488096
36.597800000000014,0.05905910498285064,-0.005319720224782819
36.79773333333333,0.060267300107041163,-0.005133589186455119
36.997666666666674,0.061431954578959426,-0.0049466342236465085
37.1976,0.06255291898497121,-0.004759176935406469
37.397533333333335,0.06363011891884644,-0.00457153600616292
37.597466666666676,0.06466355420129431,-0.00438402646423042
37.79740000000001,0.0656532979272402,-0.004196958956388017
37.99733333333334,0.0665994953448808,-0.004010639040493367
38.19726666666668,0.06750236257100888,-0.0038253664980280764
38.397200000000005,0.06836218514753595,-0.00364143466839184
38.59713333333333,0.06917931644455912,-0.003459129806680108
38.79706666666668,0.06995417591571436,-0.0032787304665928517
38.99700000000001,0.07068724721193587,-0.003100506910029344
39.19693333333334,0.07137907616009571,-0.00292472054482724
39.39686666666667,0.07203026861332541,-0.0027516233920045017
39.5968,0.07264148818013175,-0.002581457583757927
39.79673333333334,0.07321345383969652,-0.0024144548933658565
39.99666666666667,0.07374693745100874,-0.002250836298032575
40.19660000000001,0.07424276116370532,-0.00209081157560009
40.39653333333334,0.07470179473870078,-0.0019345789359396402
40.59646666666667,0.07512495278686161,-0.001782324687719498
40.796400000000006,0.07551319193412945,-0.0016342229411303202
40.99633333333334,0.07586750792161986,-0.0014904353470320218
41.19626666666667,0.0761889326493144,-0.0013511108728696919
41.3962,0.07647853117203281,-0.0012163856155894823
41.59613333333334,0.07673739865640879,-0.001086382651669408
41.79606666666667,0.07696665730760462,-0.0009612119242654772
41.99600000000001,0.0771674532744855,-0.0008409701673598816
42.19593333333334,0.07734095354193105,-0.0007257408666869483
42.39586666666667,0.0774883428188948,-0.0006155942571027853
42.595800000000004,0.07761082043072831,-0.0005105873559582466
42.79573333333334,0.077709597224169,-0.00041076403193072877
42.99566666666667,0.07778589249324795,-0.000316155108669798
43.195600000000006,0.07784093093420931,-0.00022677850251448192
43.39553333333335,0.07787593963734404,-0.00014263939344679675
43.595466666666674,0.07789214512343236,-6.373042835677894e-05
43.7954,0.07789077043225949,9.968044390747194e-06
43.995333333333335,0.07787303227041903,7.848771017766759e-05
44.195266666666676,0.0778401382253523,0.00014187199430822886
44.39520000000001,0.07779328405228679,0.00020017574037541872
44.59513333333334,0.07773365104043535,0.0002534648621203851
44.79506666666668,0.07766240346450447,0.0003018159701476743
44.995000000000005,0.07758068612722911,0.0003453159749142591
45.19493333333334,0.07748962199831161,0.00038406166746015696
45.39486666666668,0.07739030995478995,0.0004181592793925395
45.594800000000006,0.07728382262749876,0.000447724023674128
45.79473333333334,0.07717120435791709,0.0004728796177998187
45.994666666666674,0.07705346926931905,0.0004937577909730004
46.19460000000001,0.0769315994557616,0.0005104977769152439
46.39453333333334,0.07680654329205641,0.0005232457939595058
46.59446666666667,0.07667921386748251,0.0005321545140881633
46.79440000000001,0.07655048754560377,0.0005373825225829082
46.99433333333334,0.07642120265216504,0.0005390937699540936
47.19426666666667,0.07629215829264524,0.0005374570178123458
47.394200000000005,0.07616411330065921,0.0005326452803356352
47.594133333333346,0.07603778531801082,0.0005248352629704268
47.79406666666667,0.07591385000681793,0.0005142067999861558
47.99400000000001,0.07579294039375219,0.0005009422924785725
48.19393333333334,0.07567564634606479,0.00048522614838921797
48.39386666666667,0.0755625141787062,0.0004672442260760074
48.59380000000001,0.07545404639149075,0.00044718328293364795
48.79373333333334,0.075350701534912,0.00042523043052259286
48.99366666666668,0.0752528942028762,0.0004015725976217646
49.1936,0.07516099515029723,0.00037639600257358276
49.39353333333334,0.07507533153317959,0.00034988563624002884
49.59346666666667,0.07499618726851652,0.00032222475683597786
49.793400000000005,0.07492380351103818,0.000293594397850971
49.99333333333335,0.07485837924357024,0.0002641728902132448
50.19326666666667,0.07480007197750047,0.00023413539979053074
50.39320000000001,0.07474899855960297,0.00020365348126090462
50.59313333333334,0.07470523608123568,0.00017289464932436737
50.793066666666675,0.07466882288570915,0.0001420219681618089
50.99300000000001,0.0746397596694214,0.00011119365998303601
51.19293333333334,0.0746180106721644,8.056273343964359e-05
51.39286666666668,0.074603504951838,5.027663261216635e-05
51.592800000000004,0.07459613773864866,2.0476907214097846e-05
51.79273333333334,0.07459577186373043,-8.701095411545374e-06
51.992666666666686,0.07460223925700056,-3.712851599428518e-05
