name,x_mm,y_mm,A_Wb_per_m,Bx_T,By_T,B_abs_T,Hx_A_per_m,Hy_A_per_m,H_abs_A_per_m,mu_r_abs_from_B_over_mu0H,mu_x_femm,mu_y_femm
outer_bridge_lower,37.7,4.3,-0.01072342854205709,0.374417782945322,-1.782825218316438,1.821717441111751,20383.2918123574,-97056.94635951794,99174.23769176177,14.61747236065412,14.61747236065412,14.61747236065412
outer_bridge_upper,22.5,30.4,0.01094861808808646,-1.361534889770248,1.214230635050563,1.824317212317248,-75562.30636451876,67387.23181626078,101245.74635501415,14.338829657584785,14.33882965758478,14.33882965758478
center_bridge,21.9,12.7,-9.177306147837117e-05,-1.640580932443177,-0.9475785921784678,1.8945740904622999,-136148.3646890773,-78637.55648272164,157226.72322821978,9.589045213173614,9.589045213173614,9.589045213173614
