name,value
condition,259219375478846.7
alpha_prime_deg,18.447402133653434
gamma_prime_deg,20.662445156066408
alpha_deg,7.008658044413742
alpha1_deg,41.55259786634657
gamma_deg,9.959973611772236
Rf_mm,27.35167905356964
Rb_mm,37.3
Rr_mm,38.800000000000004
Rs_mm,40.0
model_Br_min,0.0
model_Br_max,0.08062219494855462
model_Br_mean,0.06178755390543285
model_Br_rms,0.06622476080430467
model_Bt_min,-0.00703854866220169
model_Bt_max,0.00703854866220169
model_Bt_mean,1.106534576038362e-18
model_Bt_rms,0.003408563300765862
femm_Br_min,4.9341242015218684e-05
femm_Br_max,0.6272661049020922
femm_Br_mean,0.46727059144078725
femm_Br_rms,0.5228216083135656
femm_Bt_min,-0.08124424582377504
femm_Bt_max,0.08114499821865068
femm_Bt_mean,6.505491991434844e-05
femm_Bt_rms,0.031694979912558735
Br_relative_l2,0.8749740534576644
Bt_relative_l2,0.9177617731521104
Br_best_scalar_to_FEMM,7.805192734222748
Bt_best_scalar_to_FEMM,7.31830829060638
Br_relative_l2_after_best_scalar,0.1501182195847188
Bt_relative_l2_after_best_scalar,0.6169140407844097
