dataset,component,region,relative_l2,rms_T,ref_rms_T
FEMM slotless benchmark,Br_T,left_edge_0_12deg,0.05447706262037028,0.3054557464371094,0.3172548187214888
FEMM slotless benchmark,Br_T,middle_12_48deg,0.12271444833033843,0.6266182014216648,0.6056636159080826
FEMM slotless benchmark,Br_T,right_edge_48_60deg,0.054685625494226425,0.3057276253527146,0.31789740422092444
FEMM slotless benchmark,Br_T,all_0_60deg,0.11487577112601578,0.5228216083135656,0.5106783515674461
FEMM slotless benchmark,Bt_T,left_edge_0_12deg,0.1988763617353556,0.04990197566462107,0.05240905585444809
FEMM slotless benchmark,Bt_T,middle_12_48deg,0.9840260982588218,0.003421269719221025,0.04661303110462274
FEMM slotless benchmark,Bt_T,right_edge_48_60deg,0.2003412960194373,0.05014064320820848,0.05258885408825809
FEMM slotless benchmark,Bt_T,all_0_60deg,0.7376808244799201,0.031694979912558735,0.049044356411385194
subdomain slotless,Br_T,left_edge_0_12deg,0.2666676493052081,0.2750102501630801,0.3172548187214888
subdomain slotless,Br_T,middle_12_48deg,0.12375159606614851,0.5816673308339871,0.6056636159080826
subdomain slotless,Br_T,right_edge_48_60deg,0.26698124892967745,0.27501025016307984,0.31789740422092444
subdomain slotless,Br_T,all_0_60deg,0.15469309564987416,0.48332545621359163,0.5106783515674461
subdomain slotless,Bt_T,left_edge_0_12deg,0.47529384671153235,0.03507537977484758,0.05240905585444809
subdomain slotless,Bt_T,middle_12_48deg,0.96977936340505,0.010672028052323378,0.04661303110462274
subdomain slotless,Bt_T,right_edge_48_60deg,0.47873252480322326,0.03507537977484757,0.05258885408825809
subdomain slotless,Bt_T,all_0_60deg,0.7840914709547127,0.023642433067003355,0.049044356411385194
subdomain + geometry slotting,Br_T,left_edge_0_12deg,0.19828114382125955,0.2909283916178698,0.3172548187214888
subdomain + geometry slotting,Br_T,middle_12_48deg,0.0685923667666093,0.58105483986131,0.6056636159080826
subdomain + geometry slotting,Br_T,right_edge_48_60deg,0.19884019009269327,0.29092839161786954,0.31789740422092444
subdomain + geometry slotting,Br_T,all_0_60deg,0.10029037769118403,0.4865868483583025,0.5106783515674461
subdomain + geometry slotting,Bt_T,left_edge_0_12deg,0.5204295814107887,0.03547895421424809,0.05240905585444809
subdomain + geometry slotting,Bt_T,middle_12_48deg,0.16278297445493758,0.04564886977112213,0.04661303110462274
subdomain + geometry slotting,Bt_T,right_edge_48_60deg,0.5195064772253809,0.03547895421424809,0.05258885408825809
subdomain + geometry slotting,Bt_T,all_0_60deg,0.37134906829294156,0.04189141311865178,0.049044356411385194
