name,value
structure1_scale,1.0
structure2_scale,1.0
model_Br_min,0.0006140001348685099
model_Br_max,0.7199983299451547
model_Br_mean,0.563636840777768
model_Br_rms,0.6005437244061606
model_Bt_min,-0.05984796941991042
model_Bt_max,0.05984796941991042
model_Bt_mean,7.37689717358908e-18
model_Bt_rms,0.030398378709676308
femm_Br_min,4.9341242015218684e-05
femm_Br_max,0.6272661049020922
femm_Br_mean,0.46727059144078725
femm_Br_rms,0.5228216083135656
femm_Bt_min,-0.08124424582377504
femm_Bt_max,0.08114499821865068
femm_Bt_mean,6.505491991434844e-05
femm_Bt_rms,0.031694979912558735
Br_relative_l2,0.21072992714601096
Bt_relative_l2,0.66593455556142
Br_best_scalar_to_FEMM,0.862126835168908
Bt_best_scalar_to_FEMM,0.8025099159807214
Br_relative_l2_after_best_scalar,0.13901900630856429
Bt_relative_l2_after_best_scalar,0.6384295568756682
