shift_mm,outer_iron_mm,model,target_gain,pred_gain,femm_torque_estimate_Nm,raw_analytical_torque_Nm,corrected_analytical_torque_Nm,raw_relative_error,corrected_relative_error
0.7,2.8999999999999986,linear_shift,0.874648410365458,0.8786548909576914,12.154043957196492,13.895919563974417,12.209717689240792,0.14331654656774118,0.004580675554602934
1.2,2.3999999999999986,linear_shift,0.9277514416367915,0.9268928934255959,13.20327049656278,14.23147397461202,13.191052090039202,0.07787490821436353,-0.0009254075743399354
1.7,1.8999999999999986,linear_shift,0.9798741329773645,0.9751308958935002,14.274457670610431,14.567644139392929,14.205359880703925,0.020539236974735437,-0.004840659554357054
2.2,1.3999999999999986,linear_shift,1.0273327019290284,1.0233688983614047,15.311752746945817,14.904375883484342,15.252674728645658,-0.026605501681885108,-0.003858344585138577
2.7,0.8999999999999986,linear_shift,1.0660477925588607,1.071606900829309,16.248291784224918,15.241616649497246,16.33302158139614,-0.061955751908950155,0.005214689537609302
0.7,2.8999999999999986,outer_iron_power,0.874648410365458,0.9396929137621459,12.154043957196492,13.895919563974417,13.057897144475527,0.14331654656774118,0.07436645699671483
1.2,2.3999999999999986,outer_iron_power,0.9277514416367915,0.966219069587128,13.20327049656278,14.23147397461202,13.750721542603053,0.07787490821436353,0.0414632909461933
1.7,1.8999999999999986,outer_iron_power,0.9798741329773645,1.0000000000000002,14.274457670610431,14.567644139392929,14.567644139392932,0.020539236974735437,0.020539236974735687
2.2,1.3999999999999986,outer_iron_power,1.0273327019290284,1.045945822896382,15.311752746945817,14.904375883484342,15.589169698208021,-0.026605501681885108,0.018117909546151677
2.7,0.8999999999999986,outer_iron_power,1.0660477925588607,1.1161832634354394,16.248291784224918,15.241616649497246,17.012437411867765,-0.061955751908950155,0.04702929008111105
0.7,2.8999999999999986,outer_iron_affine_log,0.874648410365458,0.8942919538723056,12.154043957196492,13.895919563974417,12.42700905771908,0.14331654656774118,0.022458788324602227
1.2,2.3999999999999986,outer_iron_affine_log,0.9277514416367915,0.9247613424322935,13.20327049656278,14.23147397461202,13.16071697755246,0.07787490821436353,-0.003222952905600077
1.7,1.8999999999999986,outer_iron_affine_log,0.9798741329773645,0.962375094599515,14.274457670610431,14.567644139392929,14.01953790674034,0.020539236974735437,-0.01785845527392218
2.2,1.3999999999999986,outer_iron_affine_log,1.0273327019290284,1.0115438423248515,15.311752746945817,14.904375883484342,15.076429648633605,-0.026605501681885108,-0.015368789073422822
2.7,0.8999999999999986,outer_iron_affine_log,1.0660477925588607,1.0826822462385357,16.248291784224918,15.241616649497246,16.501827750384344,-0.061955751908950155,0.015603853594356159
