model,max_abs_raw_error,max_abs_corrected_error,rms_corrected_error,max_abs_loo_error,rms_loo_error,param_x0,param_a,param_b,param_reference_shift_mm,param_reference_outer_iron_mm,param_exponent
linear_shift,0.14331654656774118,0.005214689537609302,0.00417973115278222,0.013036723844023474,0.008600451235707674,1.7,0.9751308958935002,0.09647600493580871,,,
outer_iron_power,0.14331654656774118,0.07436645699671483,0.04519169713496736,0.13259462670589706,0.07644487316510484,,,,1.7,1.9000000000000001,0.1470997678257346
outer_iron_affine_log,0.14331654656774118,0.022458788324602227,0.016207337522178938,0.05628003786802037,0.03495366032071935,,0.9623750945995149,0.16100753859178996,1.7,1.9000000000000001,
