shift_mm,model,pred_gain_loo,corrected_torque_loo_Nm,femm_torque_estimate_Nm,relative_error_loo
0.7,linear_shift,0.8846646118460434,12.293228287307269,12.154043957196492,0.011451688886509602
1.2,linear_shift,0.926524944192227,13.185815630100533,13.20327049656278,-0.001322010820485026
1.7,linear_shift,0.9739450866225348,14.188085433227307,14.274457670610431,-0.006050824442945727
2.2,linear_shift,1.0216701254038518,15.227355577945593,15.311752746945817,-0.0055119208359120705
2.7,linear_shift,1.0799455632349815,16.460116277152974,16.248291784224918,0.013036723844023474
0.7,outer_iron_power,0.9569165721299638,13.2972357157521,12.154043957196492,0.094058550601071
1.2,outer_iron_power,0.9688024211219367,13.787486442737958,13.20327049656278,0.04424782074466074
1.7,outer_iron_power,1.0000000000000002,14.567644139392932,14.274457670610431,0.020539236974735687
2.2,outer_iron_power,1.048160394684205,15.622176508554695,15.311752746945817,0.020273561540549077
2.7,outer_iron_power,1.2074000016638484,18.402727967962715,16.248291784224918,0.13259462670589706
0.7,outer_iron_affine_log,0.9135715758583297,12.694917134060702,12.154043957196492,0.04450149915279475
1.2,outer_iron_affine_log,0.9233885267150129,13.141179786400043,13.20327049656278,-0.004702676520859069
1.7,outer_iron_affine_log,0.9577974176833532,13.952851938440583,14.274457670610431,-0.022530154181058644
2.2,outer_iron_affine_log,1.0059987155186987,14.993782994393117,15.311752746945817,-0.020766384999008368
2.7,outer_iron_affine_log,1.126045002693193,17.16274626113174,16.248291784224918,0.05628003786802037
