current_angle_deg,current_rms_a,Ia_A,Ib_A,Ic_A,torque_one_sector_Nm,torque_total_Nm
135.0,17.6,17.600000000000005,6.4420471066061245,-24.042047106606123,-2.533596030736724,-15.201576184420343
137.5,17.6,16.81554748221079,7.484615071000109,-24.300162553210885,-2.565303503024704,-15.391821018148223
140.0,17.6,15.999085614055945,8.512935645208731,-24.51202125926467,-2.590079953405581,-15.540479720433485
142.5,17.6,15.152168577106163,9.525051362573068,-24.677219939679222,-2.608110390963708,-15.648662345782249
145.0,17.6,14.276408526076887,10.519035603300228,-24.79544412937711,-2.619636834496421,-15.717821006978527
147.5,17.6,13.373472520000217,11.492996261893596,-24.866468781893808,-2.624874773523132,-15.749248641138792
150.0,17.6,12.445079348883237,12.445079348883244,-24.890158697766477,-2.624078053355701,-15.744468320134207
152.5,17.6,11.492996261893587,13.373472520000224,-24.866468781893808,-2.617505074837986,-15.705030449027916
155.0,17.6,10.519035603300221,14.276408526076894,-24.79544412937711,-2.605333568873199,-15.632001413239195
157.5,17.6,9.525051362573072,15.152168577106162,-24.67721993967923,-2.587787778860823,-15.526726673164937
160.0,17.6,8.512935645208735,15.999085614055941,-24.512021259264674,-2.565118645238038,-15.390711871428229
162.5,17.6,7.484615071000111,16.815547482210786,-24.300162553210896,-2.53755210307743,-15.22531261846458
165.0,17.6,6.442047106606128,17.600000000000005,-24.042047106606127,-2.505281842843679,-15.031691057062073
