case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,135.0,17.6,2.056004663302305,12.336027979813828
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,137.5,17.6,2.1103823630036582,12.662294178021948
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,140.0,17.6,2.1607428299307423,12.964456979584455
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,142.5,17.6,2.2069902000724584,13.24194120043475
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,145.0,17.6,2.2490364389312143,13.494218633587286
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,147.5,17.6,2.2868015091015894,13.720809054609536
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,150.0,17.6,2.3202135226260885,13.92128113575653
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,152.5,17.6,2.3492088778379534,14.09525326702772
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,155.0,17.6,2.3737323804305492,14.242394282583295
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,157.5,17.6,2.3937373485228677,14.362424091137207
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,160.0,17.6,2.409185701521135,14.455114209126808
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,162.5,17.6,2.4200480326073928,14.520288195644357
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,165.0,17.6,2.4263036647170444,14.557821988302265
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,167.5,17.6,2.4279406898988216,14.567644139392929
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,170.0,17.6,2.4249559919822494,14.549735951893496
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,120.0,17.6,1.5149915257762132,9.08994915465728
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,122.5,17.6,1.5848391442678795,9.509034865607276
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,125.0,17.6,1.651669931372063,9.910019588232378
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,127.5,17.6,1.7153566708870969,10.292140025322581
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,130.0,17.6,1.775778131484598,10.654668788907587
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,132.5,17.6,1.8328192974801871,10.996915784881123
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,135.0,17.6,1.8863715877723841,11.318229526634305
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,137.5,17.6,1.9363330625329034,11.61799837519742
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,140.0,17.6,1.9826086172549153,11.895651703529492
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,142.5,17.6,2.0251101637898747,12.150660982739248
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,145.0,17.6,2.063756798028323,12.382540788169939
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,147.5,17.6,2.098474953905456,12.590849723432736
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,150.0,17.6,2.12919854343831,12.77519126062986
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,152.5,17.6,2.1558690825279947,12.935214495167969
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,155.0,17.6,2.1784358022875,13.070614813725
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,157.5,17.6,2.1968557456831537,13.181134474098922
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,160.0,17.6,2.2110938493057812,13.266563095834687
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,162.5,17.6,2.221123010115896,13.326738060695376
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,165.0,17.6,2.2269241370358763,13.361544822215258
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,167.5,17.6,2.2284861872909145,13.370917123745487
balanced analytical,results/paper5_alpha52p25_slot_edge_best_compare/pole_edge_corrected_br_bt.csv,170.0,17.6,2.2258061874295705,13.354837124577422
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,120.0,17.6,1.5931610400140301,9.558966240084182
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,122.5,17.6,1.6666293063395015,9.999775838037008
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,125.0,17.6,1.7369250490553374,10.421550294332025
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,127.5,17.6,1.8039144562199296,10.823486737319577
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,130.0,17.6,1.867470009689313,11.204820058135878
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,132.5,17.6,1.9274707278551955,11.564824367131173
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,135.0,17.6,1.983802395940331,11.902814375641986
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,137.5,17.6,2.0363577834128375,12.218146700477025
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,140.0,17.6,2.0850368481056067,12.51022108863364
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,142.5,17.6,2.1297469266522597,12.778481559913558
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,145.0,17.6,2.1704029108771277,13.022417465262766
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,147.5,17.6,2.2069274098035043,13.241564458821026
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,150.0,17.6,2.239250896971765,13.435505381830591
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,152.5,17.6,2.26731184278694,13.60387105672164
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,155.0,17.6,2.2910568316437887,13.746340989862732
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,157.5,17.6,2.3104406636064456,13.862643981638673
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,160.0,17.6,2.3254264404490645,13.952558642694388
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,162.5,17.6,2.335985635893691,14.015913815362147
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,165.0,17.6,2.3420981499116484,14.05258889946989
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,167.5,17.6,2.343752346985093,14.062514081910557
S1 diagnostic analytical,results/paper5_structure1_integration_alpha52p25_h5/best_with_s1.csv,170.0,17.6,2.3409450782558765,14.04567046953526
