name,value
structure1_scale,-1.0
structure2_scale,1.0
model_Br_min,0.0005371548491751812
model_Br_max,0.5662692759642415
model_Br_mean,0.44316886712373527
model_Br_rms,0.47242956918862566
model_Bt_min,-0.04637874213710653
model_Bt_max,0.04637874213710653
model_Bt_mean,4.426138304153448e-18
model_Bt_rms,0.023829745153432343
femm_Br_min,4.9341242015218684e-05
femm_Br_max,0.6272661049020922
femm_Br_mean,0.46727059144078725
femm_Br_rms,0.5228216083135656
femm_Bt_min,-0.08124424582377504
femm_Bt_max,0.08114499821865068
femm_Bt_mean,6.505491991434844e-05
femm_Bt_rms,0.031694979912558735
Br_relative_l2,0.16273401364537562
Bt_relative_l2,0.6467988132218566
Br_best_scalar_to_FEMM,1.0961379135467586
Bt_best_scalar_to_FEMM,1.0144875501542465
Br_relative_l2_after_best_scalar,0.1376069397634587
Bt_relative_l2_after_best_scalar,0.6467070899952553
